,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target
20,Nina isn't escaped from by some customer.,Nina isn't escaped from by some movies.,Nina isn't escaped from by some,customer,movies,syntax,s-selection,animate_subject_passive,True,True,False,False,20,escaped
21,A lot of mountains were ascended by the customer.,A lot of mountains were ascended by the dog.,A lot of mountains were ascended by the,customer,dog,syntax,s-selection,animate_subject_passive,True,True,False,False,21,ascended
22,Tamara was praised by some waitress.,Tamara was praised by some cups.,Tamara was praised by some,waitress,cups,syntax,s-selection,animate_subject_passive,True,True,False,False,22,praised
23,William is discovered by some students.,William is discovered by some pie.,William is discovered by some,students,pie,syntax,s-selection,animate_subject_passive,True,True,False,False,23,discovered
24,Mitchell was remembered by some men.,Mitchell was remembered by some jacket.,Mitchell was remembered by some,men,jacket,syntax,s-selection,animate_subject_passive,True,True,False,False,24,remembered
25,Rachel isn't investigated by the dancer.,Rachel isn't investigated by the books.,Rachel isn't investigated by the,dancer,books,syntax,s-selection,animate_subject_passive,True,True,False,False,25,investigated
26,Grace was returned to by some cashiers.,Grace was returned to by some theses.,Grace was returned to by some,cashiers,theses,syntax,s-selection,animate_subject_passive,True,True,False,False,26,returned
27,Michael is loved by some offspring.,Michael is loved by some bicycle.,Michael is loved by some,offspring,bicycle,syntax,s-selection,animate_subject_passive,True,True,False,False,27,loved
28,Nancy wasn't attacked by some actor.,Nancy wasn't attacked by some screens.,Nancy wasn't attacked by some,actor,screens,syntax,s-selection,animate_subject_passive,True,True,False,False,28,attacked
29,That company wasn't questioned by the customer.,That company wasn't questioned by the face.,That company wasn't questioned by the,customer,face,syntax,s-selection,animate_subject_passive,True,True,False,False,29,questioned
30,Jill isn't returned to by the doctors.,Jill isn't returned to by the sock.,Jill isn't returned to by the,doctors,sock,syntax,s-selection,animate_subject_passive,True,True,False,False,30,returned
31,Ruth was listened to by the senator.,Ruth was listened to by the phenomena.,Ruth was listened to by the,senator,phenomena,syntax,s-selection,animate_subject_passive,True,True,False,False,31,listened
32,Sabrina was listened to by some adult.,Sabrina was listened to by some organization.,Sabrina was listened to by some,adult,organization,syntax,s-selection,animate_subject_passive,True,True,False,False,32,listened
33,That library was toured by the dancers.,That library was toured by the apples.,That library was toured by the,dancers,apples,syntax,s-selection,animate_subject_passive,True,True,False,False,33,toured
34,Rose isn't seen by the waiters.,Rose isn't seen by the spotlights.,Rose isn't seen by the,waiters,spotlights,syntax,s-selection,animate_subject_passive,True,True,False,False,34,seen
35,All closets were bought by the patient.,All closets were bought by the peppers.,All closets were bought by the,patient,peppers,syntax,s-selection,animate_subject_passive,True,True,False,False,35,bought
36,Randolf was cared for by the waiter.,Randolf was cared for by the drawing.,Randolf was cared for by the,waiter,drawing,syntax,s-selection,animate_subject_passive,True,True,False,False,36,cared
37,Janet was fired by some offspring.,Janet was fired by some scarves.,Janet was fired by some,offspring,scarves,syntax,s-selection,animate_subject_passive,True,True,False,False,37,fired
38,Russell wasn't referenced by some girl.,Russell wasn't referenced by some hat.,Russell wasn't referenced by some,girl,hat,syntax,s-selection,animate_subject_passive,True,True,False,False,38,referenced
39,Carmen is talked about by the waiters.,Carmen is talked about by the essay.,Carmen is talked about by the,waiters,essay,syntax,s-selection,animate_subject_passive,True,True,False,False,39,talked
40,A story wasn't scanned by the doctor.,A story wasn't scanned by the newspaper article.,A story wasn't scanned by the,doctor,newspaper article,syntax,s-selection,animate_subject_passive,True,True,False,False,40,scanned
41,Sherry wasn't criticized by some customers.,Sherry wasn't criticized by some casseroles.,Sherry wasn't criticized by some,customers,casseroles,syntax,s-selection,animate_subject_passive,True,True,False,False,41,criticized
42,Joseph isn't praised by the pedestrians.,Joseph isn't praised by the hypothesis.,Joseph isn't praised by the,pedestrians,hypothesis,syntax,s-selection,animate_subject_passive,True,True,False,False,42,praised
43,Gregory wasn't helped by some teenager.,Gregory wasn't helped by some legislature.,Gregory wasn't helped by some,teenager,legislature,syntax,s-selection,animate_subject_passive,True,True,False,False,43,helped
44,Every student was listened to by some guys.,Every student was listened to by some rabbit.,Every student was listened to by some,guys,rabbit,syntax,s-selection,animate_subject_passive,True,True,False,False,44,listened
45,Mitchell isn't hated by some man.,Mitchell isn't hated by some brochures.,Mitchell isn't hated by some,man,brochures,syntax,s-selection,animate_subject_passive,True,True,False,False,45,hated
46,Those stairs aren't climbed down by the cashiers.,Those stairs aren't climbed down by the dress.,Those stairs aren't climbed down by the,cashiers,dress,syntax,s-selection,animate_subject_passive,True,True,False,False,46,climbed
47,Some mushrooms were brought by the actors.,Some mushrooms were brought by the carts.,Some mushrooms were brought by the,actors,carts,syntax,s-selection,animate_subject_passive,True,True,False,False,47,brought
48,Most children aren't listened to by some girls.,Most children aren't listened to by some fungus.,Most children aren't listened to by some,girls,fungus,syntax,s-selection,animate_subject_passive,True,True,False,False,48,listened
49,Teresa is attacked by some child.,Teresa is attacked by some cacti.,Teresa is attacked by some,child,cacti,syntax,s-selection,animate_subject_passive,True,True,False,False,49,attacked
50,A hospital is exited by some adults.,A hospital is exited by some coats.,A hospital is exited by some,adults,coats,syntax,s-selection,animate_subject_passive,True,True,False,False,50,exited
51,These actresses were referenced by some lady.,These actresses were referenced by some box.,These actresses were referenced by some,lady,box,syntax,s-selection,animate_subject_passive,True,True,False,False,51,referenced
52,Stacey wasn't fired by some guest.,Stacey wasn't fired by some geese.,Stacey wasn't fired by some,guest,geese,syntax,s-selection,animate_subject_passive,True,True,False,False,52,fired
53,A mall is explored by the people.,A mall is explored by the beef.,A mall is explored by the,people,beef,syntax,s-selection,animate_subject_passive,True,True,False,False,53,explored
54,The women were kissed by some teenagers.,The women were kissed by some glasses.,The women were kissed by some,teenagers,glasses,syntax,s-selection,animate_subject_passive,True,True,False,False,54,kissed
55,The commentaries weren't examined by some lady.,The commentaries weren't examined by some bike.,The commentaries weren't examined by some,lady,bike,syntax,s-selection,animate_subject_passive,True,True,False,False,55,examined
56,Homer isn't described by the boys.,Homer isn't described by the snake.,Homer isn't described by the,boys,snake,syntax,s-selection,animate_subject_passive,True,True,False,False,56,described
57,Spain is toured by the actress.,Spain is toured by the turtle.,Spain is toured by the,actress,turtle,syntax,s-selection,animate_subject_passive,True,True,False,False,57,toured
58,Some hills aren't climbed down by some drivers.,Some hills aren't climbed down by some government.,Some hills aren't climbed down by some,drivers,government,syntax,s-selection,animate_subject_passive,True,True,False,False,58,climbed
59,Aaron isn't referenced by the teacher.,Aaron isn't referenced by the picture.,Aaron isn't referenced by the,teacher,picture,syntax,s-selection,animate_subject_passive,True,True,False,False,59,referenced
60,Carolyn is referenced by some adults.,Carolyn is referenced by some book.,Carolyn is referenced by some,adults,book,syntax,s-selection,animate_subject_passive,True,True,False,False,60,referenced
61,Donna wasn't disliked by the patients.,Donna wasn't disliked by the apple.,Donna wasn't disliked by the,patients,apple,syntax,s-selection,animate_subject_passive,True,True,False,False,61,disliked
62,The commentaries weren't scanned by the patient.,The commentaries weren't scanned by the snake.,The commentaries weren't scanned by the,patient,snake,syntax,s-selection,animate_subject_passive,True,True,False,False,62,scanned
63,Many grocery stores are passed by the children.,Many grocery stores are passed by the trucks.,Many grocery stores are passed by the,children,trucks,syntax,s-selection,animate_subject_passive,True,True,False,False,63,passed
64,Some book isn't scanned by some dancer.,Some book isn't scanned by some reports.,Some book isn't scanned by some,dancer,reports,syntax,s-selection,animate_subject_passive,True,True,False,False,64,scanned
65,Julia was talked to by the lady.,Julia was talked to by the sheep.,Julia was talked to by the,lady,sheep,syntax,s-selection,animate_subject_passive,True,True,False,False,65,talked
66,A lot of malls are exited by some children.,A lot of malls are exited by some screens.,A lot of malls are exited by some,children,screens,syntax,s-selection,animate_subject_passive,True,True,False,False,66,exited
67,Mitchell was discussed by some boy.,Mitchell was discussed by some pork.,Mitchell was discussed by some,boy,pork,syntax,s-selection,animate_subject_passive,True,True,False,False,67,discussed
68,Kevin was loved by the teenagers.,Kevin was loved by the broccoli.,Kevin was loved by the,teenagers,broccoli,syntax,s-selection,animate_subject_passive,True,True,False,False,68,loved
69,The cafes aren't appreciated by some driver.,The cafes aren't appreciated by some ellipsis.,The cafes aren't appreciated by some,driver,ellipsis,syntax,s-selection,animate_subject_passive,True,True,False,False,69,appreciated
70,Many glasses aren't cleaned by the men.,Many glasses aren't cleaned by the committees.,Many glasses aren't cleaned by the,men,committees,syntax,s-selection,animate_subject_passive,True,True,False,False,70,cleaned
71,Cilantro wasn't hidden by some teacher.,Cilantro wasn't hidden by some fish.,Cilantro wasn't hidden by some,teacher,fish,syntax,s-selection,animate_subject_passive,True,True,False,False,71,hidden
72,That hill is seen by the children.,That hill is seen by the rabbits.,That hill is seen by the,children,rabbits,syntax,s-selection,animate_subject_passive,True,True,False,False,72,seen
73,Debra wasn't admired by the drivers.,Debra wasn't admired by the geese.,Debra wasn't admired by the,drivers,geese,syntax,s-selection,animate_subject_passive,True,True,False,False,73,admired
74,These sketches were researched by some girls.,These sketches were researched by some axes.,These sketches were researched by some,girls,axes,syntax,s-selection,animate_subject_passive,True,True,False,False,74,researched
75,Bethany isn't thought about by the ladies.,Bethany isn't thought about by the windows.,Bethany isn't thought about by the,ladies,windows,syntax,s-selection,animate_subject_passive,True,True,False,False,75,thought
76,A grocery store is researched by the actor.,A grocery store is researched by the ellipsis.,A grocery store is researched by the,actor,ellipsis,syntax,s-selection,animate_subject_passive,True,True,False,False,76,researched
77,That cafe isn't driven to by some teachers.,That cafe isn't driven to by some documentary.,That cafe isn't driven to by some,teachers,documentary,syntax,s-selection,animate_subject_passive,True,True,False,False,77,driven
78,Spain wasn't toured by some customer.,Spain wasn't toured by some company.,Spain wasn't toured by some,customer,company,syntax,s-selection,animate_subject_passive,True,True,False,False,78,toured
79,That ladder wasn't descended by the cashier.,That ladder wasn't descended by the convertibles.,That ladder wasn't descended by the,cashier,convertibles,syntax,s-selection,animate_subject_passive,True,True,False,False,79,descended
80,Thomas wasn't hugged by some guest.,Thomas wasn't hugged by some projectors.,Thomas wasn't hugged by some,guest,projectors,syntax,s-selection,animate_subject_passive,True,True,False,False,80,hugged
81,That fish is taken by the teacher.,That fish is taken by the series.,That fish is taken by the,teacher,series,syntax,s-selection,animate_subject_passive,True,True,False,False,81,taken
82,This art gallery wasn't passed by some woman.,This art gallery wasn't passed by some teeth.,This art gallery wasn't passed by some,woman,teeth,syntax,s-selection,animate_subject_passive,True,True,False,False,82,passed
83,These unicycles are seen by the guests.,These unicycles are seen by the deer.,These unicycles are seen by the,guests,deer,syntax,s-selection,animate_subject_passive,True,True,False,False,83,seen
84,Timothy was praised by the waitresses.,Timothy was praised by the geese.,Timothy was praised by the,waitresses,geese,syntax,s-selection,animate_subject_passive,True,True,False,False,84,praised
85,Curtis is concealed by some teenager.,Curtis is concealed by some paralysis.,Curtis is concealed by some,teenager,paralysis,syntax,s-selection,animate_subject_passive,True,True,False,False,85,concealed
86,These universities were boycotted by some lady.,These universities were boycotted by some mirrors.,These universities were boycotted by some,lady,mirrors,syntax,s-selection,animate_subject_passive,True,True,False,False,86,boycotted
87,Many malls aren't messed up by some actresses.,Many malls aren't messed up by some skateboards.,Many malls aren't messed up by some,actresses,skateboards,syntax,s-selection,animate_subject_passive,True,True,False,False,87,messed
88,Deanna isn't boasted about by some waiters.,Deanna isn't boasted about by some wheelbarrows.,Deanna isn't boasted about by some,waiters,wheelbarrows,syntax,s-selection,animate_subject_passive,True,True,False,False,88,boasted
89,Jacqueline was talked to by the cashiers.,Jacqueline was talked to by the feet.,Jacqueline was talked to by the,cashiers,feet,syntax,s-selection,animate_subject_passive,True,True,False,False,89,talked
90,That patient wasn't helped by the boy.,That patient wasn't helped by the reports.,That patient wasn't helped by the,boy,reports,syntax,s-selection,animate_subject_passive,True,True,False,False,90,helped
91,Deborah isn't watched by some children.,Deborah isn't watched by some fish.,Deborah isn't watched by some,children,fish,syntax,s-selection,animate_subject_passive,True,True,False,False,91,watched
92,Some hill was escaped from by the actresses.,Some hill was escaped from by the fungus.,Some hill was escaped from by the,actresses,fungus,syntax,s-selection,animate_subject_passive,True,True,False,False,92,escaped
93,Theodore is referenced by some driver.,Theodore is referenced by some muffins.,Theodore is referenced by some,driver,muffins,syntax,s-selection,animate_subject_passive,True,True,False,False,93,referenced
94,Every skateboard isn't lifted by the man.,Every skateboard isn't lifted by the oxen.,Every skateboard isn't lifted by the,man,oxen,syntax,s-selection,animate_subject_passive,True,True,False,False,94,lifted
95,All public parks were explored by some teenager.,All public parks were explored by some screen.,All public parks were explored by some,teenager,screen,syntax,s-selection,animate_subject_passive,True,True,False,False,95,explored
96,This cake is seen by the pedestrians.,This cake is seen by the parentheses.,This cake is seen by the,pedestrians,parentheses,syntax,s-selection,animate_subject_passive,True,True,False,False,96,seen
97,Every person wasn't cared for by the offspring.,Every person wasn't cared for by the fungus.,Every person wasn't cared for by the,offspring,fungus,syntax,s-selection,animate_subject_passive,True,True,False,False,97,cared
98,Edward wasn't insulted by some alumni.,Edward wasn't insulted by some oxen.,Edward wasn't insulted by some,alumni,oxen,syntax,s-selection,animate_subject_passive,True,True,False,False,98,insulted
99,Brad was investigated by the actresses.,Brad was investigated by the rabbits.,Brad was investigated by the,actresses,rabbits,syntax,s-selection,animate_subject_passive,True,True,False,False,99,investigated
100,Many glaciers weren't researched by the woman.,Many glaciers weren't researched by the muffin.,Many glaciers weren't researched by the,woman,muffin,syntax,s-selection,animate_subject_passive,True,True,False,False,100,researched
101,This pedestrian isn't thought about by the senators.,This pedestrian isn't thought about by the pamphlet.,This pedestrian isn't thought about by the,senators,pamphlet,syntax,s-selection,animate_subject_passive,True,True,False,False,101,thought
102,This art gallery was driven to by some alumni.,This art gallery was driven to by some skateboard.,This art gallery was driven to by some,alumni,skateboard,syntax,s-selection,animate_subject_passive,True,True,False,False,102,driven
103,The banks weren't arrived at by the adult.,The banks weren't arrived at by the gloves.,The banks weren't arrived at by the,adult,gloves,syntax,s-selection,animate_subject_passive,True,True,False,False,103,arrived
104,Kevin isn't hidden by the cashiers.,Kevin isn't hidden by the jacket.,Kevin isn't hidden by the,cashiers,jacket,syntax,s-selection,animate_subject_passive,True,True,False,False,104,hidden
105,These grocery stores were concealed by some teenagers.,These grocery stores were concealed by some tomatoes.,These grocery stores were concealed by some,teenagers,tomatoes,syntax,s-selection,animate_subject_passive,True,True,False,False,105,concealed
106,Holly is seen by some girls.,Holly is seen by some glasses.,Holly is seen by some,girls,glasses,syntax,s-selection,animate_subject_passive,True,True,False,False,106,seen
107,Some drawing was discovered by the waitress.,Some drawing was discovered by the paralysis.,Some drawing was discovered by the,waitress,paralysis,syntax,s-selection,animate_subject_passive,True,True,False,False,107,discovered
108,Most gates are bought by the children.,Most gates are bought by the turtle.,Most gates are bought by the,children,turtle,syntax,s-selection,animate_subject_passive,True,True,False,False,108,bought
109,A lot of libraries are sold by the guys.,A lot of libraries are sold by the reports.,A lot of libraries are sold by the,guys,reports,syntax,s-selection,animate_subject_passive,True,True,False,False,109,sold
110,Rebecca wasn't cared for by some teenager.,Rebecca wasn't cared for by some diagnosis.,Rebecca wasn't cared for by some,teenager,diagnosis,syntax,s-selection,animate_subject_passive,True,True,False,False,110,cared
111,The hills were dropped by by some senator.,The hills were dropped by by some ice.,The hills were dropped by by some,senator,ice,syntax,s-selection,animate_subject_passive,True,True,False,False,111,dropped
112,Debra was described by some waiters.,Debra was described by some documentaries.,Debra was described by some,waiters,documentaries,syntax,s-selection,animate_subject_passive,True,True,False,False,112,described
113,Michelle was praised by some waiter.,Michelle was praised by some jackets.,Michelle was praised by some,waiter,jackets,syntax,s-selection,animate_subject_passive,True,True,False,False,113,praised
114,Monica was hated by the guy.,Monica was hated by the windows.,Monica was hated by the,guy,windows,syntax,s-selection,animate_subject_passive,True,True,False,False,114,hated
115,The school was run around by some cashier.,The school was run around by some muffin.,The school was run around by some,cashier,muffin,syntax,s-selection,animate_subject_passive,True,True,False,False,115,run
116,Waitresses are argued about by the alumni.,Waitresses are argued about by the window.,Waitresses are argued about by the,alumni,window,syntax,s-selection,animate_subject_passive,True,True,False,False,116,argued
117,The high schools are toured by some men.,The high schools are toured by some broccoli.,The high schools are toured by some,men,broccoli,syntax,s-selection,animate_subject_passive,True,True,False,False,117,toured
118,This mountain wasn't biked to by some children.,This mountain wasn't biked to by some drawings.,This mountain wasn't biked to by some,children,drawings,syntax,s-selection,animate_subject_passive,True,True,False,False,118,biked
119,That book isn't argued about by the alumnus.,That book isn't argued about by the muffins.,That book isn't argued about by the,alumnus,muffins,syntax,s-selection,animate_subject_passive,True,True,False,False,119,argued
120,A convertible wasn't broken by some man.,A convertible wasn't broken by some windows.,A convertible wasn't broken by some,man,windows,syntax,s-selection,animate_subject_passive,True,True,False,False,120,broken
121,That child wasn't complained about by the student.,That child wasn't complained about by the wheelbarrows.,That child wasn't complained about by the,student,wheelbarrows,syntax,s-selection,animate_subject_passive,True,True,False,False,121,complained
122,George was helped by the pedestrians.,George was helped by the committees.,George was helped by the,pedestrians,committees,syntax,s-selection,animate_subject_passive,True,True,False,False,122,helped
123,Chairs are messed up by some pedestrians.,Chairs are messed up by some pamphlet.,Chairs are messed up by some,pedestrians,pamphlet,syntax,s-selection,animate_subject_passive,True,True,False,False,123,messed
124,Becky wasn't described by the driver.,Becky wasn't described by the cups.,Becky wasn't described by the,driver,cups,syntax,s-selection,animate_subject_passive,True,True,False,False,124,described
125,Every unicycle was brought by some lady.,Every unicycle was brought by some cucumber.,Every unicycle was brought by some,lady,cucumber,syntax,s-selection,animate_subject_passive,True,True,False,False,125,brought
126,Some mountain was left by some man.,Some mountain was left by some parenthesis.,Some mountain was left by some,man,parenthesis,syntax,s-selection,animate_subject_passive,True,True,False,False,126,left
127,The Impressionists aren't admired by the waiters.,The Impressionists aren't admired by the university.,The Impressionists aren't admired by the,waiters,university,syntax,s-selection,animate_subject_passive,True,True,False,False,127,admired
128,The eyes are discovered by the actress.,The eyes are discovered by the sweaters.,The eyes are discovered by the,actress,sweaters,syntax,s-selection,animate_subject_passive,True,True,False,False,128,discovered
129,The screens are broken by the cashiers.,The screens are broken by the candles.,The screens are broken by the,cashiers,candles,syntax,s-selection,animate_subject_passive,True,True,False,False,129,broken
130,Allison wasn't questioned by the man.,Allison wasn't questioned by the parenthesis.,Allison wasn't questioned by the,man,parenthesis,syntax,s-selection,animate_subject_passive,True,True,False,False,130,questioned
131,These skateboards weren't broken by the children.,These skateboards weren't broken by the analyses.,These skateboards weren't broken by the,children,analyses,syntax,s-selection,animate_subject_passive,True,True,False,False,131,broken
132,Omar wasn't questioned by some ladies.,Omar wasn't questioned by some light.,Omar wasn't questioned by some,ladies,light,syntax,s-selection,animate_subject_passive,True,True,False,False,132,questioned
133,The pedestrian is revealed by the pedestrians.,The pedestrian is revealed by the book.,The pedestrian is revealed by the,pedestrians,book,syntax,s-selection,animate_subject_passive,True,True,False,False,133,revealed
134,Holly isn't hired by some driver.,Holly isn't hired by some dish.,Holly isn't hired by some,driver,dish,syntax,s-selection,animate_subject_passive,True,True,False,False,134,hired
135,Larry was approached by the men.,Larry was approached by the synthesis.,Larry was approached by the,men,synthesis,syntax,s-selection,animate_subject_passive,True,True,False,False,135,approached
136,That adult isn't visited by the ladies.,That adult isn't visited by the bicycle.,That adult isn't visited by the,ladies,bicycle,syntax,s-selection,animate_subject_passive,True,True,False,False,136,visited
137,The Clintons were remembered by the waitress.,The Clintons were remembered by the glasses.,The Clintons were remembered by the,waitress,glasses,syntax,s-selection,animate_subject_passive,True,True,False,False,137,remembered
138,Brett isn't helped by the child.,Brett isn't helped by the mice.,Brett isn't helped by the,child,mice,syntax,s-selection,animate_subject_passive,True,True,False,False,138,helped
139,Galileo isn't watched by some customer.,Galileo isn't watched by some blouse.,Galileo isn't watched by some,customer,blouse,syntax,s-selection,animate_subject_passive,True,True,False,False,139,watched
140,Mary wasn't hired by some students.,Mary wasn't hired by some mirrors.,Mary wasn't hired by some,students,mirrors,syntax,s-selection,animate_subject_passive,True,True,False,False,140,hired
141,Melinda was left by some actresses.,Melinda was left by some series.,Melinda was left by some,actresses,series,syntax,s-selection,animate_subject_passive,True,True,False,False,141,left
142,A lot of high schools aren't driven to by some boy.,A lot of high schools aren't driven to by some chair.,A lot of high schools aren't driven to by some,boy,chair,syntax,s-selection,animate_subject_passive,True,True,False,False,142,driven
143,The bank isn't gone to by some adult.,The bank isn't gone to by some shawl.,The bank isn't gone to by some,adult,shawl,syntax,s-selection,animate_subject_passive,True,True,False,False,143,gone
144,A library wasn't toured by some senator.,A library wasn't toured by some bird.,A library wasn't toured by some,senator,bird,syntax,s-selection,animate_subject_passive,True,True,False,False,144,toured
145,Actors are seen by the guest.,Actors are seen by the book.,Actors are seen by the,guest,book,syntax,s-selection,animate_subject_passive,True,True,False,False,145,seen
146,Winston Churchill isn't seen by the person.,Winston Churchill isn't seen by the hair.,Winston Churchill isn't seen by the,person,hair,syntax,s-selection,animate_subject_passive,True,True,False,False,146,seen
147,George wasn't hired by some teacher.,George wasn't hired by some mushroom.,George wasn't hired by some,teacher,mushroom,syntax,s-selection,animate_subject_passive,True,True,False,False,147,hired
148,Some chair was broken by the child.,Some chair was broken by the dishes.,Some chair was broken by the,child,dishes,syntax,s-selection,animate_subject_passive,True,True,False,False,148,broken
149,Veronica was forgotten by the guys.,Veronica was forgotten by the hair.,Veronica was forgotten by the,guys,hair,syntax,s-selection,animate_subject_passive,True,True,False,False,149,forgotten
150,That bike was broken by the waiters.,That bike was broken by the stimuli.,That bike was broken by the,waiters,stimuli,syntax,s-selection,animate_subject_passive,True,True,False,False,150,broken
151,All cars aren't discovered by some alumnus.,All cars aren't discovered by some sock.,All cars aren't discovered by some,alumnus,sock,syntax,s-selection,animate_subject_passive,True,True,False,False,151,discovered
152,This restaurant is arrived at by some senators.,This restaurant is arrived at by some newspaper article.,This restaurant is arrived at by some,senators,newspaper article,syntax,s-selection,animate_subject_passive,True,True,False,False,152,arrived
153,Claire wasn't concealed by some actor.,Claire wasn't concealed by some slopes.,Claire wasn't concealed by some,actor,slopes,syntax,s-selection,animate_subject_passive,True,True,False,False,153,concealed
154,Tamara wasn't noticed by some dancer.,Tamara wasn't noticed by some mouths.,Tamara wasn't noticed by some,dancer,mouths,syntax,s-selection,animate_subject_passive,True,True,False,False,154,noticed
155,Those windows were broken by some person.,Those windows were broken by some books.,Those windows were broken by some,person,books,syntax,s-selection,animate_subject_passive,True,True,False,False,155,broken
156,Daniel isn't praised by the driver.,Daniel isn't praised by the pies.,Daniel isn't praised by the,driver,pies,syntax,s-selection,animate_subject_passive,True,True,False,False,156,praised
157,Those cafes are seen by some patient.,Those cafes are seen by some bird.,Those cafes are seen by some,patient,bird,syntax,s-selection,animate_subject_passive,True,True,False,False,157,seen
158,Hospitals aren't biked to by the man.,Hospitals aren't biked to by the mouth.,Hospitals aren't biked to by the,man,mouth,syntax,s-selection,animate_subject_passive,True,True,False,False,158,biked
159,Those public parks weren't found by some cashiers.,Those public parks weren't found by some carriages.,Those public parks weren't found by some,cashiers,carriages,syntax,s-selection,animate_subject_passive,True,True,False,False,159,found
160,Some mountain isn't climbed down by the cashiers.,Some mountain isn't climbed down by the carts.,Some mountain isn't climbed down by the,cashiers,carts,syntax,s-selection,animate_subject_passive,True,True,False,False,160,climbed
161,Every unicycle isn't fixed by some student.,Every unicycle isn't fixed by some bananas.,Every unicycle isn't fixed by some,student,bananas,syntax,s-selection,animate_subject_passive,True,True,False,False,161,fixed
162,Colleen wasn't sounded like by some boy.,Colleen wasn't sounded like by some dish.,Colleen wasn't sounded like by some,boy,dish,syntax,s-selection,animate_subject_passive,True,True,False,False,162,sounded
163,Florence is forgotten by some boy.,Florence is forgotten by some species.,Florence is forgotten by some,boy,species,syntax,s-selection,animate_subject_passive,True,True,False,False,163,forgotten
164,Some shoe wasn't cleaned by the teachers.,Some shoe wasn't cleaned by the parenthesis.,Some shoe wasn't cleaned by the,teachers,parenthesis,syntax,s-selection,animate_subject_passive,True,True,False,False,164,cleaned
165,Samantha is insulted by some children.,Samantha is insulted by some stairs.,Samantha is insulted by some,children,stairs,syntax,s-selection,animate_subject_passive,True,True,False,False,165,insulted
