,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,dependency_length,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target,target_phrase
12,The daughter of the Lutherans hasn't argued about that waitress.,The daughter of the Lutherans haven't argued about that waitress.,The daughter of the Lutherans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,12,daughter,The daughter of the Lutherans
13,A nephew of senators is wanting to murmur.,A nephew of senators were wanting to murmur.,A nephew of senators,is,were,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,13,nephew,A nephew of senators
14,The prints of that high school are impressing Helen.,The prints of that high school was impressing Helen.,The prints of that high school,are,was,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,14,prints,The prints of that high school
15,A report about the Impressionists has won.,A report about the Impressionists have won.,A report about the Impressionists,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,15,report,A report about the Impressionists
16,The grandsons of Douglas chuckle.,The grandsons of Douglas chuckles.,The grandsons of Douglas,chuckle,chuckles,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,16,NA,NA
17,The mothers of Mary seem to shrink.,The mothers of Mary seems to shrink.,The mothers of Mary,seem,seems,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,17,mothers,The mothers of Mary
18,The books about Winston Churchill do look like paintings.,The books about Winston Churchill does look like paintings.,The books about Winston Churchill,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,18,books,The books about Winston Churchill
19,The sketches of some dancer do bore these girls.,The sketches of some dancer does bore these girls.,The sketches of some dancer,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,19,sketches,The sketches of some dancer
20,The daughter of most actresses is observing Christina.,The daughter of most actresses were observing Christina.,The daughter of most actresses,is,were,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,20,daughter,The daughter of most actresses
21,A story about the Lutherans hasn't won.,A story about the Lutherans haven't won.,A story about the Lutherans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,21,story,A story about the Lutherans
22,The friends of every person do fix some cups.,The friends of every person does fix some cups.,The friends of every person,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,22,friends,The friends of every person
23,A father of guys was passing most college campuses.,A father of guys are passing most college campuses.,A father of guys,was,are,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,23,father,A father of guys
24,The commentaries about music do disgust Kayla.,The commentaries about music does disgust Kayla.,The commentaries about music,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,24,commentaries,The commentaries about music
25,The grandfathers of Diana drink.,The grandfathers of Diana drinks.,The grandfathers of Diana,drink,drinks,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,25,grandfathers,The grandfathers of
26,The daughters of Wayne don't exit art galleries.,The daughters of Wayne doesn't exit art galleries.,The daughters of Wayne,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,26,daughters,The daughters of Wayne
27,The pamphlets about art aggravate Sherry.,The pamphlets about art aggravates Sherry.,The pamphlets about art,aggravate,aggravates,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,27,pamphlets,The pamphlets about art
28,A granddaughter of the Impressionists wasn't lifting a convertible.,A granddaughter of the Impressionists aren't lifting a convertible.,A granddaughter of the Impressionists,wasn't,aren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,28,granddaughter,A granddaughter of the Impressionists
29,The granddaughters of Walter have boasted about a teenager.,The granddaughters of Walter has boasted about a teenager.,The granddaughters of Walter,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,29,granddaughters,The granddaughters of Walter
30,The reports about art are scaring Melissa.,The reports about art was scaring Melissa.,The reports about art,are,was,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,30,reports,The reports about art
31,A brochure about the Balkans doesn't impress Erin.,A brochure about the Balkans don't impress Erin.,A brochure about the Balkans,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,31,brochure,A brochure about the Balkans
32,The sons of Victoria long to waste away.,The sons of Victoria longs to waste away.,The sons of Victoria,long,longs,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,32,sons,The sons of Victoria
33,The report about the Impressionists hasn't sounded like Joel.,The report about the Impressionists haven't sounded like Joel.,The report about the Impressionists,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,33,report,The report about the Impressionists
34,The commentaries about politics have bothered this senator.,The commentaries about politics has bothered this senator.,The commentaries about politics,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,34,commentaries,The commentaries about politics
35,A son of some actors spurs the actress to aggravate the child.,A son of some actors spur the actress to aggravate the child.,A son of some actors,spurs,spur,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,35,son,A son of some actors
36,The shows about Monet weren't scaring Liam.,The shows about Monet wasn't scaring Liam.,The shows about Monet,weren't,wasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,36,shows,The shows about Monet
37,The granddaughters of Michelle do shrug.,The granddaughters of Michelle does shrug.,The granddaughters of Michelle,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,37,granddaughters,The granddaughters of Michelle
38,The painting of a lot of sweaters resembles some drawings.,The painting of a lot of sweaters resemble some drawings.,The painting of a lot of sweaters,resembles,resemble,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,38,painting,The painting of a lot of sweaters
39,The pamphlets about Winston Churchill have resembled those photographs.,The pamphlets about Winston Churchill has resembled those photographs.,The pamphlets about Winston Churchill,have,has,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,39,pamphlets,The pamphlets about Winston Churchill
40,The drawing of these pants exists.,The drawing of these pants exist.,The drawing of these pants,exists,exist,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,40,drawing,The drawing of these pants
41,The grandsons of Theodore are pressuring Steven's supervisors to flee from Maria.,The grandsons of Theodore is pressuring Steven's supervisors to flee from Maria.,The grandsons of Theodore,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,41,grandsons,The grandsons of Theodore
42,The granddaughters of Amanda hug Noah.,The granddaughters of Amanda hugs Noah.,The granddaughters of Amanda,hug,hugs,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,42,granddaughters,The granddaughters of Amanda
43,The plays about Harvard University weren't worrying Douglas.,The plays about Harvard University wasn't worrying Douglas.,The plays about Harvard University,weren't,wasn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,43,plays,The plays about Harvard University
44,The stories about literature have irritated Clyde.,The stories about literature has irritated Clyde.,The stories about literature,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,44,stories,The stories about literature
45,A story about the Impressionists worries all teachers.,A story about the Impressionists worry all teachers.,A story about the Impressionists,worries,worry,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,45,story,A story about the Impressionists
46,The print of all tomatoes hasn't shocked Barbara.,The print of all tomatoes haven't shocked Barbara.,The print of all tomatoes,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,46,print,The print of all tomatoes
47,A pamphlet about the Borgias aggravates Helen.,A pamphlet about the Borgias aggravate Helen.,A pamphlet about the Borgias,aggravates,aggravate,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,47,pamphlet,A pamphlet about the Borgias
48,The mother of those dancers has researched those documentaries.,The mother of those dancers have researched those documentaries.,The mother of those dancers,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,48,mother,The mother of those dancers
49,The mothers of Cheryl do bake.,The mothers of Cheryl does bake.,The mothers of Cheryl,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,49,mothers,The mothers of Cheryl
50,The paintings of Donna have upset every guest.,The paintings of Donna has upset every guest.,The paintings of Donna,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,50,paintings,The paintings of Donna
51,A book about the Impressionists does resemble every photograph.,A book about the Impressionists do resemble every photograph.,A book about the Impressionists,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,51,book,A book about the Impressionists
52,The brochure about the Impressionists doesn't disturb that girl.,The brochure about the Impressionists don't disturb that girl.,The brochure about the Impressionists,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,52,brochure,The brochure about the Impressionists
53,The sons of a guy do fail to eat.,The sons of a guy does fail to eat.,The sons of a guy,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,53,sons,The sons of a guy
54,The mother of the pedestrians isn't arriving at some closets.,The mother of the pedestrians weren't arriving at some closets.,The mother of the pedestrians,isn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,54,mother,The mother of the pedestrians
55,The report about the Impressionists doesn't disagree with Rose.,The report about the Impressionists don't disagree with Rose.,The report about the Impressionists,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,55,report,The report about the Impressionists
56,The nieces of Gerald were crying.,The nieces of Gerald was crying.,The nieces of Gerald,were,was,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,56,nieces,The nieces of Gerald
57,The reports about Jesus have disappeared.,The reports about Jesus has disappeared.,The reports about Jesus,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,57,reports,The reports about Jesus
58,A daughter of a lot of waiters speaks up.,A daughter of a lot of waiters speak up.,A daughter of a lot of waiters,speaks up,speak up,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,58,daughter,A daughter of a lot of waiters
59,The nieces of Rachel discover this nose.,The nieces of Rachel discovers this nose.,The nieces of Rachel,discover,discovers,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,59,nieces,The nieces of Rachel
60,The essays about Spain were disgusting Laurie.,The essays about Spain is disgusting Laurie.,The essays about Spain,were,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,60,essays,The essays about Spain
61,The father of many pedestrians washes.,The father of many pedestrians wash.,The father of many pedestrians,washes,wash,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,61,father,The father of many pedestrians
62,A painting of most photographs wasn't hurting Becky.,A painting of most photographs weren't hurting Becky.,A painting of most photographs,wasn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,62,painting,A painting of most photographs
63,A sister of some children doesn't swallow.,A sister of some children don't swallow.,A sister of some children,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,63,sister,A sister of some children
64,The newspaper articles about Harvard University do disturb Brian.,The newspaper articles about Harvard University does disturb Brian.,The newspaper articles about Harvard University,do,does,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,64,articles,The newspaper articles about Harvard University
65,The prints of this icicle upset Stacy.,The prints of this icicle upsets Stacy.,The prints of this icicle,upset,upsets,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,65,prints,The prints of this icicle
66,The book about the Lutherans does sound like Guy.,The book about the Lutherans do sound like Guy.,The book about the Lutherans,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,66,book,The book about the Lutherans
67,The grandmothers of Heather aren't obliging Kathleen to walk through every cafe.,The grandmothers of Heather isn't obliging Kathleen to walk through every cafe.,The grandmothers of Heather,aren't,isn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,67,grandmothers,The grandmothers of Heather
68,A father of these patients intends to embarrass Gary.,A father of these patients intend to embarrass Gary.,A father of these patients,intends,intend,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,68,father,A father of these patients
69,A grandson of most doctors hasn't believed Wayne to walk through a public park.,A grandson of most doctors haven't believed Wayne to walk through a public park.,A grandson of most doctors,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,69,grandson,A grandson of most doctors
70,The painting of a lot of eggplants has worried Spain.,The painting of a lot of eggplants have worried Spain.,The painting of a lot of eggplants,has,have,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,70,painting,The painting of a lot of eggplants
71,The nieces of the girl negotiate.,The nieces of the girl negotiates.,The nieces of the girl,negotiate,negotiates,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,71,nieces,The nieces of the girl
72,The grandmothers of Jennifer do regret Daniel will threaten to go to this art gallery.,The grandmothers of Jennifer does regret Daniel will threaten to go to this art gallery.,The grandmothers of Jennifer,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,72,grandmothers,The grandmothers of Jennifer
73,The granddaughters of Anna do describe Gerald.,The granddaughters of Anna does describe Gerald.,The granddaughters of Anna,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,73,granddaughters,The granddaughters of Anna
74,The report about the Great Lakes is astounding Todd.,The report about the Great Lakes are astounding Todd.,The report about the Great Lakes,is,are,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,74,report,The report about the Great Lakes
75,The shows about Spain do aggravate Christina.,The shows about Spain does aggravate Christina.,The shows about Spain,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,75,shows,The shows about Spain
76,The photograph of jackets hasn't resembled some print.,The photograph of jackets haven't resembled some print.,The photograph of jackets,hasn't,haven't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,76,photograph,The photograph of jackets
77,The story about the Clintons doesn't hurt Rose.,The story about the Clintons don't hurt Rose.,The story about the Clintons,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,77,story,The story about the Clintons
78,The cousins of Martin are worrying that guest.,The cousins of Martin is worrying that guest.,The cousins of Martin,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,78,cousins,The cousins of Martin
79,The son of some waitresses wasn't wondering who begged Julia to practice.,The son of some waitresses weren't wondering who begged Julia to practice.,The son of some waitresses,wasn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,79,son,The son of some waitresses
80,A granddaughter of the pedestrians isn't leaving.,A granddaughter of the pedestrians aren't leaving.,A granddaughter of the pedestrians,isn't,aren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,80,granddaughter,A granddaughter of the pedestrians
81,The commentary about the Impressionists hurts Joel.,The commentary about the Impressionists hurt Joel.,The commentary about the Impressionists,hurts,hurt,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,81,commentary,The commentary about the Impressionists
82,A daughter of most pedestrians knows Lisa.,A daughter of most pedestrians know Lisa.,A daughter of most pedestrians,knows,know,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,82,daughter,A daughter of most pedestrians
83,A newspaper article about the Balkans isn't bothering a teacher.,A newspaper article about the Balkans weren't bothering a teacher.,A newspaper article about the Balkans,isn't,weren't,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,83,article,A newspaper article about the Balkans
84,The documentary about the Clintons doesn't upset Lawrence.,The documentary about the Clintons don't upset Lawrence.,The documentary about the Clintons,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,84,documentary,The documentary about the Clintons
85,The brochures about Galileo were vanishing.,The brochures about Galileo was vanishing.,The brochures about Galileo,were,was,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,85,brochures,The brochures about Galileo
86,The newspaper articles about Galileo appear.,The newspaper articles about Galileo appears.,The newspaper articles about Galileo,appear,appears,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,86,articles,The newspaper articles about Galileo
87,The picture of many college campuses does look like drawings.,The picture of many college campuses do look like drawings.,The picture of many college campuses,does,do,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,87,picture,The picture of many college campuses
88,The show about the Borgias hasn't annoyed Mark.,The show about the Borgias haven't annoyed Mark.,The show about the Borgias,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,88,show,The show about the Borgias
89,The brochures about Winston Churchill don't win.,The brochures about Winston Churchill doesn't win.,The brochures about Winston Churchill,don't,doesn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,89,brochures,The brochures about Winston Churchill
90,A commentary about the Clintons doesn't disagree.,A commentary about the Clintons don't disagree.,A commentary about the Clintons,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,90,commentary,A commentary about the Clintons
91,The essays about Spain hurt Brenda.,The essays about Spain hurts Brenda.,The essays about Spain,hurt,hurts,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,91,essays,The essays about Spain
92,The daughters of Charles do think about what darkens.,The daughters of Charles does think about what darkens.,The daughters of Charles,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,92,daughters,The daughters of Charles
93,The print of many doctors hasn't upset Wendy.,The print of many doctors haven't upset Wendy.,The print of many doctors,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,93,print,The print of many doctors
94,The pictures of Cindy don't waste away.,The pictures of Cindy doesn't waste away.,The pictures of Cindy,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,94,pictures,The pictures of Cindy
95,The grandson of the teachers isn't singing.,The grandson of the teachers weren't singing.,The grandson of the teachers,isn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,95,grandson,The grandson of the teachers
96,The nephew of many waiters learns.,The nephew of many waiters learn.,The nephew of many waiters,learns,learn,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,96,nephew,The nephew of many waiters
97,The reports about politics don't stun libraries.,The reports about politics doesn't stun libraries.,The reports about politics,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,97,reports,The reports about politics
98,A daughter of these actors does dare Randolf to discover this mountain.,A daughter of these actors do dare Randolf to discover this mountain.,A daughter of these actors,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,98,daughter,A daughter of these actors
99,The plays about Spain don't bother Holly.,The plays about Spain doesn't bother Holly.,The plays about Spain,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,99,plays,The plays about Spain
100,The essays about Jesus weren't shocking Monet.,The essays about Jesus wasn't shocking Monet.,The essays about Jesus,weren't,wasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,100,essays,The essays about Jesus
101,A story about the Impressionists bothers Scott.,A story about the Impressionists bother Scott.,A story about the Impressionists,bothers,bother,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,101,story,A story about the Impressionists
102,The commentaries about politics do distract Carol.,The commentaries about politics does distract Carol.,The commentaries about politics,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,102,commentaries,The commentaries about politics
103,The commentary about the Clintons hasn't irritated Cindy.,The commentary about the Clintons haven't irritated Cindy.,The commentary about the Clintons,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,103,commentary,The commentary about the Clintons
104,A drawing of many peppers doesn't hurt Lisa.,A drawing of many peppers don't hurt Lisa.,A drawing of many peppers,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,104,drawing,A drawing of many peppers
105,The daughter of those women anticipates a jacket to shrink.,The daughter of those women anticipate a jacket to shrink.,The daughter of those women,anticipates,anticipate,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,105,daughter,The daughter of those women
106,The daughters of Bruce don't beg Aaron to compromise.,The daughters of Bruce doesn't beg Aaron to compromise.,The daughters of Bruce,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,106,daughters,The daughters of Bruce
107,The books about Galileo are annoying Sandra.,The books about Galileo is annoying Sandra.,The books about Galileo,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,107,books,The books about Galileo
108,A commentary about the Balkans hasn't alarmed many ladies.,A commentary about the Balkans haven't alarmed many ladies.,A commentary about the Balkans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,108,commentary,A commentary about the Balkans
109,The pictures of Walter do disturb Mary.,The pictures of Walter does disturb Mary.,The pictures of Walter,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,109,pictures,The pictures of Walter
110,The book about the Lutherans wastes away.,The book about the Lutherans waste away.,The book about the Lutherans,wastes away,waste away,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,110,book,The book about the Lutherans
111,The book about the Great Lakes worries Theresa.,The book about the Great Lakes worry Theresa.,The book about the Great Lakes,worries,worry,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,111,book,The book about the Great Lakes
112,A pamphlet about the Lutherans does alarm Nicole.,A pamphlet about the Lutherans do alarm Nicole.,A pamphlet about the Lutherans,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,112,pamphlet,A pamphlet about the Lutherans
113,A painting of some horses has disturbed Steven.,A painting of some horses have disturbed Steven.,A painting of some horses,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,113,painting,A painting of some horses
114,The picture of the shirts isn't astounding Frank.,The picture of the shirts weren't astounding Frank.,The picture of the shirts,isn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,114,picture,The picture of the shirts
115,The fathers of Anne depart.,The fathers of Anne departs.,The fathers of Anne,depart,departs,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,115,NA,NA
116,A movie about the Great Lakes embarrasses Jacqueline.,A movie about the Great Lakes embarrass Jacqueline.,A movie about the Great Lakes,embarrasses,embarrass,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,116,movie,A movie about the Great Lakes
117,The print of all teenagers doesn't look like this photograph.,The print of all teenagers don't look like this photograph.,The print of all teenagers,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,117,print,The print of all teenagers
118,The photographs of Florence haven't disappeared.,The photographs of Florence hasn't disappeared.,The photographs of Florence,haven't,hasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,118,photographs,The photographs of Florence
119,The nieces of Ellen do regret some guy isn't spinning around.,The nieces of Ellen does regret some guy isn't spinning around.,The nieces of Ellen,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,119,nieces,The nieces of Ellen
120,The grandfather of most drivers hasn't failed to fire Eric.,The grandfather of most drivers haven't failed to fire Eric.,The grandfather of most drivers,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,120,grandfather,The grandfather of most drivers
121,The plays about art have alarmed Mitchell.,The plays about art has alarmed Mitchell.,The plays about art,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,121,plays,The plays about art
122,The grandsons of Janet speak up.,The grandsons of Janet speaks up.,The grandsons of Janet,speak up,speaks up,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,122,grandsons,The grandsons of Janet
123,A pamphlet about the Balkans hasn't astounded Monica.,A pamphlet about the Balkans haven't astounded Monica.,A pamphlet about the Balkans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,123,pamphlet,A pamphlet about the Balkans
124,The grandmothers of James don't boycott the lake.,The grandmothers of James doesn't boycott the lake.,The grandmothers of James,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,124,grandmothers,The grandmothers of James
