,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target
10,A lot of drawings had irritated those clean hospitals.,A lot of drawings had irritated those clean hospital.,A lot of drawings had irritated those clean,hospitals,hospital,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,10,those
11,Many customers do clean those yellow plates.,Many customers do clean those yellow plate.,Many customers do clean those yellow,plates,plate,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,11,those
12,Scott hadn't fired that uncertain actor.,Scott hadn't fired that uncertain actors.,Scott hadn't fired that uncertain,actor,actors,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,12,that
13,Many men have these messy cups.,Many men have these messy cup.,Many men have these messy,cups,cup,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,13,these
14,Martha shouldn't upset these excited doctors.,Martha shouldn't upset these excited doctor.,Martha shouldn't upset these excited,doctors,doctor,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,14,these
15,Many teachers should appreciate that bad play.,Many teachers should appreciate that bad plays.,Many teachers should appreciate that bad,play,plays,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,15,that
16,All bikes embarrass those uncertain teenagers.,All bikes embarrass those uncertain teenager.,All bikes embarrass those uncertain,teenagers,teenager,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,16,those
17,Bruce criticizes that happy lady.,Bruce criticizes that happy ladies.,Bruce criticizes that happy,lady,ladies,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,17,that
18,Some man hugs these good actresses.,Some man hugs these good actress.,Some man hugs these good,actresses,actress,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,18,these
19,Turtles aggravated these important associations.,Turtles aggravated these important association.,Turtles aggravated these important,associations,association,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,19,these
20,Tara fired that uncertain cashier.,Tara fired that uncertain cashiers.,Tara fired that uncertain,cashier,cashiers,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,20,that
21,Becca isn't dropping by this brown art gallery.,Becca isn't dropping by this brown art galleries.,Becca isn't dropping by this brown,art gallery,art galleries,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,21,this
22,James was approaching these bad doctors.,James was approaching these bad doctor.,James was approaching these bad,doctors,doctor,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,22,these
23,Those associations will have these old libraries.,Those associations will have these old library.,Those associations will have these old,libraries,library,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,23,these
24,A lot of guests notice that troubled waiter.,A lot of guests notice that troubled waiters.,A lot of guests notice that troubled,waiter,waiters,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,24,that
25,Tamara attacked these bad boys.,Tamara attacked these bad boy.,Tamara attacked these bad,boys,boy,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,25,these
26,Jesus wears these big shawls.,Jesus wears these big shawl.,Jesus wears these big,shawls,shawl,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,26,these
27,Tara appreciates these displeased teenagers.,Tara appreciates these displeased teenager.,Tara appreciates these displeased,teenagers,teenager,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,27,these
28,Many adults question this bad association.,Many adults question this bad associations.,Many adults question this bad,association,associations,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,28,this
29,Men help these uncertain teachers.,Men help these uncertain teacher.,Men help these uncertain,teachers,teacher,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,29,these
30,Jessica investigated these standing dancers.,Jessica investigated these standing dancer.,Jessica investigated these standing,dancers,dancer,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,30,these
31,Catherine went to this rough art gallery.,Catherine went to this rough art galleries.,Catherine went to this rough,art gallery,art galleries,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,31,this
32,Every drawing annoys that popular pedestrian.,Every drawing annoys that popular pedestrians.,Every drawing annoys that popular,pedestrian,pedestrians,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,32,that
33,Rhonda forgot these sick teenagers.,Rhonda forgot these sick teenager.,Rhonda forgot these sick,teenagers,teenager,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,33,these
34,Jodi hated these smart guests.,Jodi hated these smart guest.,Jodi hated these smart,guests,guest,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,34,these
35,Some adults distracts that popular school.,Some adults distracts that popular schools.,Some adults distracts that popular,school,schools,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,35,that
36,Diana couldn't reveal this important actress.,Diana couldn't reveal this important actresses.,Diana couldn't reveal this important,actress,actresses,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,36,this
37,Tonya helps these out in the open doctors.,Tonya helps these out in the open doctor.,Tonya helps these out in the open,doctors,doctor,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,37,these
38,Joel was complaining about those small adults.,Joel was complaining about those small adult.,Joel was complaining about those small,adults,adult,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,38,those
39,All doctors arrive at these good movie theaters.,All doctors arrive at these good movie theater.,All doctors arrive at these good,movie theaters,movie theater,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,39,these
40,These women reveal those good libraries.,These women reveal those good library.,These women reveal those good,libraries,library,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,40,those
41,Jessica biked to these red cafes.,Jessica biked to these red cafe.,Jessica biked to these red,cafes,cafe,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,41,these
42,Stephanie wasn't distracting those green schools.,Stephanie wasn't distracting those green school.,Stephanie wasn't distracting those green,schools,school,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,42,those
43,That teenager hasn't investigated these fast children.,That teenager hasn't investigated these fast child.,That teenager hasn't investigated these fast,children,child,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,43,these
44,Kevin described those lost patients.,Kevin described those lost patient.,Kevin described those lost,patients,patient,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,44,those
45,A lot of libraries argue about this good brochure.,A lot of libraries argue about this good brochures.,A lot of libraries argue about this good,brochure,brochures,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,45,this
46,All museums hadn't known these upset senators.,All museums hadn't known these upset senator.,All museums hadn't known these upset,senators,senator,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,46,these
47,Steve will reveal those uncertain boys.,Steve will reveal those uncertain boy.,Steve will reveal those uncertain,boys,boy,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,47,those
48,Dawn scans this good commentary.,Dawn scans this good commentaries.,Dawn scans this good,commentary,commentaries,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,48,this
49,The cat resembled that red sketch.,The cat resembled that red sketches.,The cat resembled that red,sketch,sketches,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,49,that
50,That child sees these rough hospitals.,That child sees these rough hospital.,That child sees these rough,hospitals,hospital,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,50,these
51,Cindy was noticing that concealed rug.,Cindy was noticing that concealed rugs.,Cindy was noticing that concealed,rug,rugs,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,51,that
52,Most customers liked those red pictures.,Most customers liked those red picture.,Most customers liked those red,pictures,picture,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,52,those
53,Brenda hadn't fixed these broken glasses.,Brenda hadn't fixed these broken glass.,Brenda hadn't fixed these broken,glasses,glass,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,53,these
54,Laura isn't firing this scared waitress.,Laura isn't firing this scared waitresses.,Laura isn't firing this scared,waitress,waitresses,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,54,this
55,Elizabeth shouldn't clean this green bank.,Elizabeth shouldn't clean this green banks.,Elizabeth shouldn't clean this green,bank,banks,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,55,this
56,Winston Churchill approaches those displeased dancers.,Winston Churchill approaches those displeased dancer.,Winston Churchill approaches those displeased,dancers,dancer,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,56,those
57,Edward criticized those young dancers.,Edward criticized those young dancer.,Edward criticized those young,dancers,dancer,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,57,those
58,Dawn does annoy those brown banks.,Dawn does annoy those brown bank.,Dawn does annoy those brown,banks,bank,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,58,those
59,All lakes disgust that hidden guest.,All lakes disgust that hidden guests.,All lakes disgust that hidden,guest,guests,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,59,that
60,Students had remembered that fast boy.,Students had remembered that fast boys.,Students had remembered that fast,boy,boys,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,60,that
61,Dan had forgotten that good newspaper article.,Dan had forgotten that good newspaper articles.,Dan had forgotten that good,newspaper article,newspaper articles,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,61,that
62,The mirrors shocked that bad university.,The mirrors shocked that bad universities.,The mirrors shocked that bad,university,universities,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,62,that
63,This university was praising those standing guys.,This university was praising those standing guy.,This university was praising those standing,guys,guy,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,63,those
64,Carla might remember these delighted doctors.,Carla might remember these delighted doctor.,Carla might remember these delighted,doctors,doctor,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,64,these
65,Samuel escaped from those young girls.,Samuel escaped from those young girl.,Samuel escaped from those young,girls,girl,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,65,those
66,A lot of museums forget that good girl.,A lot of museums forget that good girls.,A lot of museums forget that good,girl,girls,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,66,that
67,Christopher can drop by that gray movie theater.,Christopher can drop by that gray movie theaters.,Christopher can drop by that gray,movie theater,movie theaters,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,67,that
68,Rhonda wore that popular hat.,Rhonda wore that popular hats.,Rhonda wore that popular,hat,hats,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,68,that
69,Paul was escaping from these upset waitresses.,Paul was escaping from these upset waitress.,Paul was escaping from these upset,waitresses,waitress,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,69,these
70,These teachers mess up that purple hospital.,These teachers mess up that purple hospitals.,These teachers mess up that purple,hospital,hospitals,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,70,that
71,Gerald forgets those rough pamphlets.,Gerald forgets those rough pamphlet.,Gerald forgets those rough,pamphlets,pamphlet,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,71,those
72,All actors wear that hard glove.,All actors wear that hard gloves.,All actors wear that hard,glove,gloves,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,72,that
73,Wendy drops by that hidden art gallery.,Wendy drops by that hidden art galleries.,Wendy drops by that hidden,art gallery,art galleries,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,73,that
74,These gloves have scared those troubled actresses.,These gloves have scared those troubled actress.,These gloves have scared those troubled,actresses,actress,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,74,those
75,Rodney took those hard glasses.,Rodney took those hard glass.,Rodney took those hard,glasses,glass,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,75,those
76,Some adults sell those purple forks.,Some adults sell those purple fork.,Some adults sell those purple,forks,fork,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,76,those
77,All girls break these small dishes.,All girls break these small dish.,All girls break these small,dishes,dish,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,77,these
78,These women forget those lost senators.,These women forget those lost senator.,These women forget those lost,senators,senator,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,78,those
79,George wasn't aggravating this concealed customer.,George wasn't aggravating this concealed customers.,George wasn't aggravating this concealed,customer,customers,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,79,this
80,This unicycle impresses this good teenager.,This unicycle impresses this good teenagers.,This unicycle impresses this good,teenager,teenagers,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,80,this
81,Russell hasn't irritated this bad legislature.,Russell hasn't irritated this bad legislatures.,Russell hasn't irritated this bad,legislature,legislatures,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,81,this
82,A skateboard worries this troubled teenager.,A skateboard worries this troubled teenagers.,A skateboard worries this troubled,teenager,teenagers,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,82,this
83,That report had hurt those unconvinced dancers.,That report had hurt those unconvinced dancer.,That report had hurt those unconvinced,dancers,dancer,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,83,those
84,Wendy did attack that out in the open senator.,Wendy did attack that out in the open senators.,Wendy did attack that out in the open,senator,senators,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,84,that
85,Every guest hasn't lifted those lost dishes.,Every guest hasn't lifted those lost dish.,Every guest hasn't lifted those lost,dishes,dish,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,85,those
86,Matt shouldn't complain about these employed girls.,Matt shouldn't complain about these employed girl.,Matt shouldn't complain about these employed,girls,girl,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,86,these
87,Some prints looked like those gray jackets.,Some prints looked like those gray jacket.,Some prints looked like those gray,jackets,jacket,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,87,those
88,Most men observe those out in the open pedestrians.,Most men observe those out in the open pedestrian.,Most men observe those out in the open,pedestrians,pedestrian,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,88,those
89,Kevin annoyed these important companies.,Kevin annoyed these important company.,Kevin annoyed these important,companies,company,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,89,these
90,Some cart scared that upset girl.,Some cart scared that upset girls.,Some cart scared that upset,girl,girls,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,90,that
91,Many waiters heal that gray horse.,Many waiters heal that gray horses.,Many waiters heal that gray,horse,horses,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,91,that
92,Carolyn should examine this important newspaper article.,Carolyn should examine this important newspaper articles.,Carolyn should examine this important,newspaper article,newspaper articles,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,92,this
93,Jennifer toured those hidden schools.,Jennifer toured those hidden school.,Jennifer toured those hidden,schools,school,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,93,those
94,Every actor cleans that concealed sock.,Every actor cleans that concealed socks.,Every actor cleans that concealed,sock,socks,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,94,that
95,Joseph hides those old cafes.,Joseph hides those old cafe.,Joseph hides those old,cafes,cafe,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,95,those
96,Monica notices that red cafe.,Monica notices that red cafes.,Monica notices that red,cafe,cafes,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,96,that
97,Susan can't approach that sick guest.,Susan can't approach that sick guests.,Susan can't approach that sick,guest,guests,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,97,that
98,Galileo buys those concealed scarves.,Galileo buys those concealed scarf.,Galileo buys those concealed,scarves,scarf,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,98,those
99,Heidi had seen those concealed rabbits.,Heidi had seen those concealed rabbit.,Heidi had seen those concealed,rabbits,rabbit,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,99,those
100,A lot of pedestrians could dislike those good plays.,A lot of pedestrians could dislike those good play.,A lot of pedestrians could dislike those good,plays,play,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,100,those
101,Frank has questioned this lucky waiter.,Frank has questioned this lucky waiters.,Frank has questioned this lucky,waiter,waiters,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,101,this
102,All patients examine these gray pamphlets.,All patients examine these gray pamphlet.,All patients examine these gray,pamphlets,pamphlet,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,102,these
103,Windows hurt these smart dancers.,Windows hurt these smart dancer.,Windows hurt these smart,dancers,dancer,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,103,these
104,Most commentaries have worried those smooth banks.,Most commentaries have worried those smooth bank.,Most commentaries have worried those smooth,banks,bank,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,104,those
105,This woman is hugging these young pedestrians.,This woman is hugging these young pedestrian.,This woman is hugging these young,pedestrians,pedestrian,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,105,these
106,Diane visits that bad doctor.,Diane visits that bad doctors.,Diane visits that bad,doctor,doctors,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,106,that
107,Many museums have talked about those unconvinced actors.,Many museums have talked about those unconvinced actor.,Many museums have talked about those unconvinced,actors,actor,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,107,those
108,Dana cleans these concealed rabbits.,Dana cleans these concealed rabbit.,Dana cleans these concealed,rabbits,rabbit,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,108,these
109,The teacher isn't criticizing those black hospitals.,The teacher isn't criticizing those black hospital.,The teacher isn't criticizing those black,hospitals,hospital,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,109,those
110,Walter was astounding these good governments.,Walter was astounding these good government.,Walter was astounding these good,governments,government,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,110,these
111,The adults conceal these big art galleries.,The adults conceal these big art gallery.,The adults conceal these big,art galleries,art gallery,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,111,these
112,Frank explored these dirty museums.,Frank explored these dirty museum.,Frank explored these dirty,museums,museum,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,112,these
113,Natalie looked like these gray paintings.,Natalie looked like these gray painting.,Natalie looked like these gray,paintings,painting,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,113,these
114,These students healed these big senators.,These students healed these big senator.,These students healed these big,senators,senator,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,114,these
115,Julie won't hug that delighted doctor.,Julie won't hug that delighted doctors.,Julie won't hug that delighted,doctor,doctors,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,115,that
116,Some fork hurts those important cashiers.,Some fork hurts those important cashier.,Some fork hurts those important,cashiers,cashier,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,116,those
117,Benjamin lifted those standing hamsters.,Benjamin lifted those standing hamster.,Benjamin lifted those standing,hamsters,hamster,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,117,those
118,Heather hates these long commentaries.,Heather hates these long commentary.,Heather hates these long,commentaries,commentary,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,118,these
119,A lot of patients insult that determined customer.,A lot of patients insult that determined customers.,A lot of patients insult that determined,customer,customers,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,119,that
120,Ella helps those important guests.,Ella helps those important guest.,Ella helps those important,guests,guest,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,120,those
121,Janet sold this brown chair.,Janet sold this brown chairs.,Janet sold this brown,chair,chairs,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,121,this
122,Carl has that small book.,Carl has that small books.,Carl has that small,book,books,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,122,that
123,Becky cared for those delighted dancers.,Becky cared for those delighted dancer.,Becky cared for those delighted,dancers,dancer,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,123,those
124,Karla knows that lost guest.,Karla knows that lost guests.,Karla knows that lost,guest,guests,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,124,that
125,April watched this sick pedestrian.,April watched this sick pedestrians.,April watched this sick,pedestrian,pedestrians,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,125,this
126,Karen isn't breaking those new chairs.,Karen isn't breaking those new chair.,Karen isn't breaking those new,chairs,chair,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,126,those
127,Dana hasn't described those exposed guests.,Dana hasn't described those exposed guest.,Dana hasn't described those exposed,guests,guest,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,127,those
128,Every girl investigates those hidden patients.,Every girl investigates those hidden patient.,Every girl investigates those hidden,patients,patient,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,128,those
129,Banks conceal this popular movie.,Banks conceal this popular movies.,Banks conceal this popular,movie,movies,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,129,this
130,Melissa brought this exposed painting.,Melissa brought this exposed paintings.,Melissa brought this exposed,painting,paintings,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,130,this
131,Ruth hasn't hated that happy actor.,Ruth hasn't hated that happy actors.,Ruth hasn't hated that happy,actor,actors,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,131,that
132,Many muffins have confused that fast doctor.,Many muffins have confused that fast doctors.,Many muffins have confused that fast,doctor,doctors,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,132,that
133,Cheryl can't hug those smart customers.,Cheryl can't hug those smart customer.,Cheryl can't hug those smart,customers,customer,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,133,those
134,Some adult hasn't brought this red cafe.,Some adult hasn't brought this red cafes.,Some adult hasn't brought this red,cafe,cafes,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,134,this
135,Some dishes impress those big doctors.,Some dishes impress those big doctor.,Some dishes impress those big,doctors,doctor,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,135,those
136,Veronica can drive to these good restaurants.,Veronica can drive to these good restaurant.,Veronica can drive to these good,restaurants,restaurant,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,136,these
137,All banks distract these out in the open adults.,All banks distract these out in the open adult.,All banks distract these out in the open,adults,adult,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,137,these
138,James drives to these big museums.,James drives to these big museum.,James drives to these big,museums,museum,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,138,these
139,Melissa worked with this old dancer.,Melissa worked with this old dancers.,Melissa worked with this old,dancer,dancers,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,139,this
140,Many customers have this new sweater.,Many customers have this new sweaters.,Many customers have this new,sweater,sweaters,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,140,this
141,The person wasn't questioning that unconvinced cashier.,The person wasn't questioning that unconvinced cashiers.,The person wasn't questioning that unconvinced,cashier,cashiers,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,141,that
