,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target,target_phrase
26,Julie hadn't revealed herself.,Julie hadn't revealed themselves.,Julie hadn't revealed,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,26,Julie,Julie
27,Many people bothered themselves.,Many people bothered itself.,Many people bothered,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,27,people,Many people
28,Most girls annoyed themselves.,Most girls annoyed himself.,Most girls annoyed,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,28,girls,Most girls
29,Most ladies weren't arguing about themselves.,Most ladies weren't arguing about herself.,Most ladies weren't arguing about,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,29,ladies,Most ladies
30,The waitresses investigated themselves.,The waitresses investigated itself.,The waitresses investigated,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,30,waitresses,The waitresses
31,Peter won't fire himself.,Peter won't fire themselves.,Peter won't fire,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,31,Peter,Peter
32,Those waitresses had loved themselves.,Those waitresses had loved herself.,Those waitresses had loved,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,32,waitresses,Those waitresses
33,Cheryl isn't insulting herself.,Cheryl isn't insulting themselves.,Cheryl isn't insulting,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,33,Cheryl,Cheryl
34,Joseph isn't revealing himself.,Joseph isn't revealing themselves.,Joseph isn't revealing,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,34,Joseph,Joseph
35,Most universities aren't scaring themselves.,Most universities aren't scaring herself.,Most universities aren't scaring,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,35,universities,Most universities
36,Natalie hadn't fired herself.,Natalie hadn't fired themselves.,Natalie hadn't fired,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,36,Natalie,Natalie
37,Donald had worked with himself.,Donald had worked with themselves.,Donald had worked with,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,37,Donald,Donald
38,Kirsten hasn't admired herself.,Kirsten hasn't admired themselves.,Kirsten hasn't admired,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,38,Kirsten,Kirsten
39,Patricia hadn't hated herself.,Patricia hadn't hated themselves.,Patricia hadn't hated,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,39,Patricia,Patricia
40,Most reports disagreed with themselves.,Most reports disagreed with herself.,Most reports disagreed with,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,40,reports,Most reports
41,Dawn could worry herself.,Dawn could worry themselves.,Dawn could worry,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,41,Dawn,Dawn
42,Randolf might approach himself.,Randolf might approach themselves.,Randolf might approach,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,42,Randolf,Randolf
43,Stacy didn't remember herself.,Stacy didn't remember themselves.,Stacy didn't remember,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,43,Stacy,Stacy
44,Richard returned to himself.,Richard returned to themselves.,Richard returned to,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,44,Richard,Richard
45,All boys listen to themselves.,All boys listen to herself.,All boys listen to,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,45,boys,All boys
46,Bruce hadn't discovered himself.,Bruce hadn't discovered themselves.,Bruce hadn't discovered,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,46,Bruce,Bruce
47,Many teenagers hadn't found themselves.,Many teenagers hadn't found itself.,Many teenagers hadn't found,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,47,teenagers,Many teenagers
48,Daniel does hate himself.,Daniel does hate themselves.,Daniel does hate,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,48,Daniel,Daniel
49,Most adults have discovered themselves.,Most adults have discovered itself.,Most adults have discovered,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,49,adults,Most adults
50,Some men could notice themselves.,Some men could notice himself.,Some men could notice,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,50,men,Some men
51,These museums should insult themselves.,These museums should insult itself.,These museums should insult,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,51,museums,These museums
52,All actresses flee from themselves.,All actresses flee from herself.,All actresses flee from,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,52,actresses,All actresses
53,Carol couldn't criticize herself.,Carol couldn't criticize themselves.,Carol couldn't criticize,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,53,Carol,Carol
54,All girls haven't discussed themselves.,All girls haven't discussed himself.,All girls haven't discussed,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,54,girls,All girls
55,All senators complained about themselves.,All senators complained about himself.,All senators complained about,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,55,senators,All senators
56,Some actors shock themselves.,Some actors shock herself.,Some actors shock,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,56,actors,Some actors
57,Jane aggravated herself.,Jane aggravated themselves.,Jane aggravated,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,57,Jane,Jane
58,Becca praised herself.,Becca praised themselves.,Becca praised,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,58,Becca,Becca
59,Those students don't confuse themselves.,Those students don't confuse himself.,Those students don't confuse,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,59,students,Those students
60,Jodi left herself.,Jodi left themselves.,Jodi left,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,60,Jodi,Jodi
61,The students have thought about themselves.,The students have thought about itself.,The students have thought about,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,61,students,The students
62,A lot of customers weren't returning to themselves.,A lot of customers weren't returning to herself.,A lot of customers weren't returning to,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,62,lot,A lot of customers
63,Those customers praise themselves.,Those customers praise herself.,Those customers praise,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,63,customers,Those customers
64,David stunned himself.,David stunned themselves.,David stunned,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,64,David,David
65,Beverly disturbed herself.,Beverly disturbed themselves.,Beverly disturbed,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,65,Beverly,Beverly
66,Thomas was hurting himself.,Thomas was hurting themselves.,Thomas was hurting,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,66,Thomas,Thomas
67,Lori attacked herself.,Lori attacked themselves.,Lori attacked,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,67,Lori,Lori
68,Joel escaped from himself.,Joel escaped from themselves.,Joel escaped from,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,68,Joel,Joel
69,The woman had worried herself.,The woman had worried themselves.,The woman had worried,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,69,woman,The woman
70,Kayla scared herself.,Kayla scared themselves.,Kayla scared,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,70,Kayla,Kayla
71,Samuel didn't kiss himself.,Samuel didn't kiss themselves.,Samuel didn't kiss,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,71,Samuel,Samuel
72,This government alarms itself.,This government alarms themselves.,This government alarms,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,72,government,This government
73,Kristin left herself.,Kristin left themselves.,Kristin left,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,73,Kristin,Kristin
74,An association annoys itself.,An association annoys themselves.,An association annoys,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,74,association,An association
75,Many actors thought about themselves.,Many actors thought about itself.,Many actors thought about,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,75,actors,Many actors
76,Teresa has scared herself.,Teresa has scared themselves.,Teresa has scared,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,76,Teresa,Teresa
77,Russell hadn't complained about himself.,Russell hadn't complained about themselves.,Russell hadn't complained about,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,77,Russell,Russell
78,All cashiers liked themselves.,All cashiers liked itself.,All cashiers liked,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,78,cashiers,All cashiers
79,Kendra doesn't shock herself.,Kendra doesn't shock themselves.,Kendra doesn't shock,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,79,Kendra,Kendra
80,Jason hasn't stunned himself.,Jason hasn't stunned themselves.,Jason hasn't stunned,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,80,Jason,Jason
81,Children did conceal themselves.,Children did conceal itself.,Children did conceal,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,81,Children,Children
82,Cheryl did worry herself.,Cheryl did worry themselves.,Cheryl did worry,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,82,Cheryl,Cheryl
83,Colleen can't impress herself.,Colleen can't impress themselves.,Colleen can't impress,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,83,Colleen,Colleen
84,Kendra wasn't thinking about herself.,Kendra wasn't thinking about themselves.,Kendra wasn't thinking about,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,84,Kendra,Kendra
85,The guests respect themselves.,The guests respect herself.,The guests respect,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,85,guests,The guests
86,Kenneth was confusing himself.,Kenneth was confusing themselves.,Kenneth was confusing,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,86,Kenneth,Kenneth
87,Some children flee from themselves.,Some children flee from itself.,Some children flee from,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,87,children,Some children
88,This organization hadn't aggravated itself.,This organization hadn't aggravated themselves.,This organization hadn't aggravated,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,88,organization,This organization
89,Michael can't disturb himself.,Michael can't disturb themselves.,Michael can't disturb,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,89,Michael,Michael
90,Many universities disgust themselves.,Many universities disgust herself.,Many universities disgust,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,90,universities,Many universities
91,Some museums annoy themselves.,Some museums annoy herself.,Some museums annoy,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,91,museums,Some museums
92,All waiters cured themselves.,All waiters cured himself.,All waiters cured,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,92,waiters,All waiters
93,The teenagers shouldn't bore themselves.,The teenagers shouldn't bore himself.,The teenagers shouldn't bore,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,93,teenagers,The teenagers
94,All cashiers hurt themselves.,All cashiers hurt himself.,All cashiers hurt,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,94,cashiers,All cashiers
95,The Clintons admired themselves.,The Clintons admired himself.,The Clintons admired,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,95,Clintons,The Clintons
96,Cynthia wasn't escaping from herself.,Cynthia wasn't escaping from themselves.,Cynthia wasn't escaping from,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,96,Cynthia,Cynthia
97,Many banks haven't aggravated themselves.,Many banks haven't aggravated herself.,Many banks haven't aggravated,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,97,banks,Many banks
98,All organizations have confused themselves.,All organizations have confused herself.,All organizations have confused,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,98,organizations,All organizations
99,Steven talked about himself.,Steven talked about themselves.,Steven talked about,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,99,Steven,Steven
100,Most men fled from themselves.,Most men fled from itself.,Most men fled from,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,100,men,Most men
101,Patrick had cared for himself.,Patrick had cared for themselves.,Patrick had cared for,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,101,Patrick,Patrick
102,James can kiss himself.,James can kiss themselves.,James can kiss,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,102,James,James
103,Most dancers shouldn't reveal themselves.,Most dancers shouldn't reveal herself.,Most dancers shouldn't reveal,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,103,dancers,Most dancers
104,All waitresses conceal themselves.,All waitresses conceal herself.,All waitresses conceal,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,104,waitresses,All waitresses
105,Some girls weren't complaining about themselves.,Some girls weren't complaining about itself.,Some girls weren't complaining about,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,105,girls,Some girls
106,Andrew hugged himself.,Andrew hugged themselves.,Andrew hugged,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,106,Andrew,Andrew
107,These guys are aggravating themselves.,These guys are aggravating himself.,These guys are aggravating,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,107,guys,These guys
108,Those teachers are praising themselves.,Those teachers are praising herself.,Those teachers are praising,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,108,teachers,Those teachers
109,A lot of actresses visit themselves.,A lot of actresses visit herself.,A lot of actresses visit,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,109,lot,A lot of actresses
110,Carlos attacked himself.,Carlos attacked themselves.,Carlos attacked,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,110,Carlos,Carlos
111,Marla might visit herself.,Marla might visit themselves.,Marla might visit,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,111,Marla,Marla
112,The guests know themselves.,The guests know itself.,The guests know,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,112,guests,The guests
113,Most men hadn't embarrassed themselves.,Most men hadn't embarrassed itself.,Most men hadn't embarrassed,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,113,men,Most men
114,Jane hasn't escaped from herself.,Jane hasn't escaped from themselves.,Jane hasn't escaped from,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,114,Jane,Jane
115,All boys are shocking themselves.,All boys are shocking herself.,All boys are shocking,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,115,boys,All boys
116,Craig hasn't insulted himself.,Craig hasn't insulted themselves.,Craig hasn't insulted,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,116,Craig,Craig
117,A lot of ladies impressed themselves.,A lot of ladies impressed itself.,A lot of ladies impressed,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,117,lot,A lot of ladies
118,Some school distracts itself.,Some school distracts themselves.,Some school distracts,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,118,school,Some school
119,All girls scared themselves.,All girls scared himself.,All girls scared,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,119,girls,All girls
120,Homer had worried himself.,Homer had worried themselves.,Homer had worried,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,120,Homer,Homer
121,All men had concealed themselves.,All men had concealed herself.,All men had concealed,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,121,men,All men
122,These pedestrians upset themselves.,These pedestrians upset itself.,These pedestrians upset,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,122,pedestrians,These pedestrians
123,These companies wouldn't aggravate themselves.,These companies wouldn't aggravate itself.,These companies wouldn't aggravate,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,123,companies,These companies
124,Many people hired themselves.,Many people hired herself.,Many people hired,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,124,people,Many people
125,The man won't hate himself.,The man won't hate themselves.,The man won't hate,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,125,man,The man
126,Guy is questioning himself.,Guy is questioning themselves.,Guy is questioning,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,126,Guy,Guy
127,These doctors help themselves.,These doctors help herself.,These doctors help,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,127,doctors,These doctors
128,The teachers are talking to themselves.,The teachers are talking to itself.,The teachers are talking to,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,128,teachers,The teachers
129,Alicia admired herself.,Alicia admired themselves.,Alicia admired,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,129,Alicia,Alicia
130,Edward worked with himself.,Edward worked with themselves.,Edward worked with,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,130,Edward,Edward
131,The men couldn't disagree with themselves.,The men couldn't disagree with herself.,The men couldn't disagree with,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,131,men,The men
132,The dancers flee from themselves.,The dancers flee from himself.,The dancers flee from,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,132,dancers,The dancers
133,Valerie hasn't thought about herself.,Valerie hasn't thought about themselves.,Valerie hasn't thought about,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,133,Valerie,Valerie
134,The universities are astounding themselves.,The universities are astounding himself.,The universities are astounding,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,134,universities,The universities
135,These cashiers had concealed themselves.,These cashiers had concealed himself.,These cashiers had concealed,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,135,cashiers,These cashiers
136,Michelle was embarrassing herself.,Michelle was embarrassing themselves.,Michelle was embarrassing,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,136,Michelle,Michelle
137,Omar is concealing himself.,Omar is concealing themselves.,Omar is concealing,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,137,Omar,Omar
138,Most teachers hurt themselves.,Most teachers hurt herself.,Most teachers hurt,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,138,teachers,Most teachers
139,Roger shouldn't conceal himself.,Roger shouldn't conceal themselves.,Roger shouldn't conceal,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,139,Roger,Roger
140,Alicia hasn't embarrassed herself.,Alicia hasn't embarrassed themselves.,Alicia hasn't embarrassed,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,140,Alicia,Alicia
141,James is visiting himself.,James is visiting themselves.,James is visiting,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,141,James,James
142,The patients shocked themselves.,The patients shocked itself.,The patients shocked,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,142,patients,The patients
143,Many girls escaped from themselves.,Many girls escaped from herself.,Many girls escaped from,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,143,girls,Many girls
144,Amelia visited herself.,Amelia visited themselves.,Amelia visited,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,144,Amelia,Amelia
145,Most committees were irritating themselves.,Most committees were irritating herself.,Most committees were irritating,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,145,committees,Most committees
146,These girls kissed themselves.,These girls kissed herself.,These girls kissed,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,146,girls,These girls
147,The dancers hug themselves.,The dancers hug herself.,The dancers hug,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,147,dancers,The dancers
148,Keith hadn't upset himself.,Keith hadn't upset themselves.,Keith hadn't upset,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,148,Keith,Keith
149,These senators scared themselves.,These senators scared herself.,These senators scared,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,149,senators,These senators
150,Janice approached herself.,Janice approached themselves.,Janice approached,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,150,Janice,Janice
151,All customers hide themselves.,All customers hide itself.,All customers hide,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,151,customers,All customers
152,Cynthia was appreciating herself.,Cynthia was appreciating themselves.,Cynthia was appreciating,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,152,Cynthia,Cynthia
153,Lissa thought about herself.,Lissa thought about themselves.,Lissa thought about,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,153,Lissa,Lissa
154,The bank shocks itself.,The bank shocks themselves.,The bank shocks,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,154,bank,The bank
155,Bruce has alarmed himself.,Bruce has alarmed themselves.,Bruce has alarmed,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,155,Bruce,Bruce
156,Helen shouldn't conceal herself.,Helen shouldn't conceal themselves.,Helen shouldn't conceal,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,156,Helen,Helen
157,A lot of students won't fire themselves.,A lot of students won't fire herself.,A lot of students won't fire,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,157,lot,A lot of students
158,Waitresses aren't upsetting themselves.,Waitresses aren't upsetting himself.,Waitresses aren't upsetting,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,158,Waitresses,Waitresses
159,The Lutherans can help themselves.,The Lutherans can help herself.,The Lutherans can help,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,159,Lutherans,The Lutherans
160,Most women haven't hidden themselves.,Most women haven't hidden itself.,Most women haven't hidden,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,160,women,Most women
161,Valerie shouldn't shock herself.,Valerie shouldn't shock themselves.,Valerie shouldn't shock,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,161,Valerie,Valerie
