,Sentence_good,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,target
19,"When Rebecca and Amanda got a kiwi at the library, Rebecca decided to give the kiwi to Amanda","When Rebecca and Amanda got a kiwi at the library, Rebecca decided to give the kiwi to",Amanda,Rebecca,Amanda
20,"When Loretta and Shannon got a strawberry at the mountain, Shannon decided to give the strawberry to Loretta","When Loretta and Shannon got a strawberry at the mountain, Shannon decided to give the strawberry to",Loretta,Shannon,Loretta
21,"While Sonia and Brandy were commuting to the desert, Sonia gave a raspberry to Brandy","While Sonia and Brandy were commuting to the desert, Sonia gave a raspberry to",Brandy,Sonia,Brandy
22,"After Leona and Kelly went to the home, Kelly gave a banana to Leona","After Leona and Kelly went to the home, Kelly gave a banana to",Leona,Kelly,Leona
23,"Then, Stacey and David were thinking about going to the store. Stacey wanted to give a kiwi to David","Then, Stacey and David were thinking about going to the store. Stacey wanted to give a kiwi to",David,Stacey,David
24,"After the lunch, Virginia and Geneva went to the lake. Geneva gave a pear to Virginia","After the lunch, Virginia and Geneva went to the lake. Geneva gave a pear to",Virginia,Geneva,Virginia
25,The museum Agnes and Deanna went to had a blueberry. Agnes gave it to Deanna,The museum Agnes and Deanna went to had a blueberry. Agnes gave it to,Deanna,Agnes,Deanna
26,"While Sarah and Martha were commuting to the cave, Martha gave a pear to Sarah","While Sarah and Martha were commuting to the cave, Martha gave a pear to",Sarah,Martha,Sarah
27,"While Jessica and Mildred were commuting to the library, Jessica gave a plum to Mildred","While Jessica and Mildred were commuting to the library, Jessica gave a plum to",Mildred,Jessica,Mildred
28,Friends Paula and Bernadette found a cherry at the desert. Bernadette gave it to Paula,Friends Paula and Bernadette found a cherry at the desert. Bernadette gave it to,Paula,Bernadette,Paula
29,The home Erika and Jerry went to had a pear. Erika gave it to Jerry,The home Erika and Jerry went to had a pear. Erika gave it to,Jerry,Erika,Jerry
30,"Afterwards, Alicia and Richard went to the school. Richard gave a plum to Alicia","Afterwards, Alicia and Richard went to the school. Richard gave a plum to",Alicia,Richard,Alicia
31,"While Sophia and Juana were working at the forest, Sophia gave a plum to Juana","While Sophia and Juana were working at the forest, Sophia gave a plum to",Juana,Sophia,Juana
32,Friends Dianne and Kristina found a orange at the home. Kristina gave it to Dianne,Friends Dianne and Kristina found a orange at the home. Kristina gave it to,Dianne,Kristina,Dianne
33,"While Rachel and Melanie were commuting to the theater, Rachel gave a raspberry to Melanie","While Rachel and Melanie were commuting to the theater, Rachel gave a raspberry to",Melanie,Rachel,Melanie
34,Friends Carmen and Rebecca found a blueberry at the forest. Rebecca gave it to Carmen,Friends Carmen and Rebecca found a blueberry at the forest. Rebecca gave it to,Carmen,Rebecca,Carmen
35,"Afterwards, Martha and Jerry went to the lake. Martha gave a cherry to Jerry","Afterwards, Martha and Jerry went to the lake. Martha gave a cherry to",Jerry,Martha,Jerry
36,"Then, Mattie and Carol were thinking about going to the cave. Carol wanted to give a orange to Mattie","Then, Mattie and Carol were thinking about going to the cave. Carol wanted to give a orange to",Mattie,Carol,Mattie
37,"Then, Ethel and Juana went to the river. Ethel gave a honeydew to Juana","Then, Ethel and Juana went to the river. Ethel gave a honeydew to",Juana,Ethel,Juana
38,"When William and Kelly got a cherry at the gym, Kelly decided to give the cherry to William","When William and Kelly got a cherry at the gym, Kelly decided to give the cherry to",William,Kelly,William
39,"Then, Yvette and Juana had a lot of fun at the zoo. Yvette gave a blueberry to Juana","Then, Yvette and Juana had a lot of fun at the zoo. Yvette gave a blueberry to",Juana,Yvette,Juana
40,"When Paula and Martha got a coconut at the zoo, Martha decided to give the coconut to Paula","When Paula and Martha got a coconut at the zoo, Martha decided to give the coconut to",Paula,Martha,Paula
41,The lake Megan and Mark went to had a watermelon. Megan gave it to Mark,The lake Megan and Mark went to had a watermelon. Megan gave it to,Mark,Megan,Mark
42,"Then, Rosa and Leigh were thinking about going to the desert. Leigh wanted to give a blueberry to Rosa","Then, Rosa and Leigh were thinking about going to the desert. Leigh wanted to give a blueberry to",Rosa,Leigh,Rosa
43,Friends Rebecca and Kathryn found a grape at the desert. Rebecca gave it to Kathryn,Friends Rebecca and Kathryn found a grape at the desert. Rebecca gave it to,Kathryn,Rebecca,Kathryn
44,"After the lunch, Deanna and Velma went to the zoo. Velma gave a pear to Deanna","After the lunch, Deanna and Velma went to the zoo. Velma gave a pear to",Deanna,Velma,Deanna
45,"Then, Martha and Jessie were working at the museum. Martha decided to give a peach to Jessie","Then, Martha and Jessie were working at the museum. Martha decided to give a peach to",Jessie,Martha,Jessie
46,"While Sheila and Lula were commuting to the school, Lula gave a blueberry to Sheila","While Sheila and Lula were commuting to the school, Lula gave a blueberry to",Sheila,Lula,Sheila
47,"When Miriam and Evelyn got a orange at the bar, Miriam decided to give it to Evelyn","When Miriam and Evelyn got a orange at the bar, Miriam decided to give it to",Evelyn,Miriam,Evelyn
48,The zoo Theresa and Jody went to had a kiwi. Jody gave it to Theresa,The zoo Theresa and Jody went to had a kiwi. Jody gave it to,Theresa,Jody,Theresa
49,"Then, Rachel and Evelyn were thinking about going to the cave. Rachel wanted to give a blueberry to Evelyn","Then, Rachel and Evelyn were thinking about going to the cave. Rachel wanted to give a blueberry to",Evelyn,Rachel,Evelyn
50,"Then, Brandy and Mona were working at the museum. Mona decided to give a raspberry to Brandy","Then, Brandy and Mona were working at the museum. Mona decided to give a raspberry to",Brandy,Mona,Brandy
51,"After Bernadette and Kim went to the shop, Bernadette gave a honeydew to Kim","After Bernadette and Kim went to the shop, Bernadette gave a honeydew to",Kim,Bernadette,Kim
52,"Afterwards, Rosemarie and Yvette went to the river. Yvette gave a cantaloupe to Rosemarie","Afterwards, Rosemarie and Yvette went to the river. Yvette gave a cantaloupe to",Rosemarie,Yvette,Rosemarie
53,"Then, Mona and Juana were thinking about going to the river. Mona wanted to give a orange to Juana","Then, Mona and Juana were thinking about going to the river. Mona wanted to give a orange to",Juana,Mona,Juana
54,"After the lunch, Melanie and Geneva went to the home. Geneva gave a banana to Melanie","After the lunch, Melanie and Geneva went to the home. Geneva gave a banana to",Melanie,Geneva,Melanie
55,"Then, Marsha and William had a lot of fun at the zoo. Marsha gave a blackberry to William","Then, Marsha and William had a lot of fun at the zoo. Marsha gave a blackberry to",William,Marsha,William
56,"Then, Rosemarie and Faye went to the forest. Faye gave a blackberry to Rosemarie","Then, Rosemarie and Faye went to the forest. Faye gave a blackberry to",Rosemarie,Faye,Rosemarie
57,"When Agnes and Kathryn got a coconut at the forest, Agnes decided to give the coconut to Kathryn","When Agnes and Kathryn got a coconut at the forest, Agnes decided to give the coconut to",Kathryn,Agnes,Kathryn
58,"When Ella and Megan got a banana at the cave, Megan decided to give it to Ella","When Ella and Megan got a banana at the cave, Megan decided to give it to",Ella,Megan,Ella
59,"After Bernadette and Mattie went to the shop, Bernadette gave a plum to Mattie","After Bernadette and Mattie went to the shop, Bernadette gave a plum to",Mattie,Bernadette,Mattie
60,The beach Mark and Sophia went to had a plum. Sophia gave it to Mark,The beach Mark and Sophia went to had a plum. Sophia gave it to,Mark,Sophia,Mark
61,Friends Stacey and Brandy found a orange at the gym. Stacey gave it to Brandy,Friends Stacey and Brandy found a orange at the gym. Stacey gave it to,Brandy,Stacey,Brandy
62,"Afterwards, Leona and Kevin went to the cafe. Kevin gave a cherry to Leona","Afterwards, Leona and Kevin went to the cafe. Kevin gave a cherry to",Leona,Kevin,Leona
63,"While Suzanne and Mark were working at the zoo, Suzanne gave a peach to Mark","While Suzanne and Mark were working at the zoo, Suzanne gave a peach to",Mark,Suzanne,Mark
64,Friends Sarah and Bernadette found a apple at the market. Bernadette gave it to Sarah,Friends Sarah and Bernadette found a apple at the market. Bernadette gave it to,Sarah,Bernadette,Sarah
65,Friends Kari and Kim found a coconut at the cafe. Kari gave it to Kim,Friends Kari and Kim found a coconut at the cafe. Kari gave it to,Kim,Kari,Kim
66,"Then, Kim and Marsha went to the zoo. Marsha gave a pear to Kim","Then, Kim and Marsha went to the zoo. Marsha gave a pear to",Kim,Marsha,Kim
67,"After Violet and Jessie went to the market, Violet gave a raspberry to Jessie","After Violet and Jessie went to the market, Violet gave a raspberry to",Jessie,Violet,Jessie
68,"While Stacy and Martha were commuting to the home, Martha gave a pineapple to Stacy","While Stacy and Martha were commuting to the home, Martha gave a pineapple to",Stacy,Martha,Stacy
69,"Then, Marilyn and Heidi had a lot of fun at the cafe. Marilyn gave a apple to Heidi","Then, Marilyn and Heidi had a lot of fun at the cafe. Marilyn gave a apple to",Heidi,Marilyn,Heidi
70,"After Ginger and Natasha went to the market, Natasha gave a apple to Ginger","After Ginger and Natasha went to the market, Natasha gave a apple to",Ginger,Natasha,Ginger
71,"Then, Marsha and Dianne went to the beach. Marsha gave a papaya to Dianne","Then, Marsha and Dianne went to the beach. Marsha gave a papaya to",Dianne,Marsha,Dianne
72,"When Wilma and Faye got a blueberry at the theater, Faye decided to give the blueberry to Wilma","When Wilma and Faye got a blueberry at the theater, Faye decided to give the blueberry to",Wilma,Faye,Wilma
73,The desert Faye and Anne went to had a raspberry. Faye gave it to Anne,The desert Faye and Anne went to had a raspberry. Faye gave it to,Anne,Faye,Anne
74,"While Juana and Violet were working at the museum, Violet gave a orange to Juana","While Juana and Violet were working at the museum, Violet gave a orange to",Juana,Violet,Juana
75,"While Estelle and Anita were working at the desert, Estelle gave a banana to Anita","While Estelle and Anita were working at the desert, Estelle gave a banana to",Anita,Estelle,Anita
76,"When Rosemarie and Rebecca got a blackberry at the mountain, Rebecca decided to give the blackberry to Rosemarie","When Rosemarie and Rebecca got a blackberry at the mountain, Rebecca decided to give the blackberry to",Rosemarie,Rebecca,Rosemarie
77,"After the lunch, Fannie and Deanna went to the cave. Fannie gave a orange to Deanna","After the lunch, Fannie and Deanna went to the cave. Fannie gave a orange to",Deanna,Fannie,Deanna
78,"Then, Doris and Robin had a lot of fun at the market. Robin gave a honeydew to Doris","Then, Doris and Robin had a lot of fun at the market. Robin gave a honeydew to",Doris,Robin,Doris
79,"When Velma and Yolanda got a apple at the river, Velma decided to give the apple to Yolanda","When Velma and Yolanda got a apple at the river, Velma decided to give the apple to",Yolanda,Velma,Yolanda
80,The shop Lorraine and Carol went to had a pineapple. Carol gave it to Lorraine,The shop Lorraine and Carol went to had a pineapple. Carol gave it to,Lorraine,Carol,Lorraine
81,"When Miriam and Doris got a coconut at the museum, Miriam decided to give the coconut to Doris","When Miriam and Doris got a coconut at the museum, Miriam decided to give the coconut to",Doris,Miriam,Doris
82,"Then, Sheila and Jody were thinking about going to the library. Jody wanted to give a apple to Sheila","Then, Sheila and Jody were thinking about going to the library. Jody wanted to give a apple to",Sheila,Jody,Sheila
83,Friends Inez and Doris found a cantaloupe at the market. Inez gave it to Doris,Friends Inez and Doris found a cantaloupe at the market. Inez gave it to,Doris,Inez,Doris
84,"Then, Kim and Inez were thinking about going to the desert. Inez wanted to give a banana to Kim","Then, Kim and Inez were thinking about going to the desert. Inez wanted to give a banana to",Kim,Inez,Kim
85,"Then, Estelle and Alyssa were thinking about going to the beach. Estelle wanted to give a cantaloupe to Alyssa","Then, Estelle and Alyssa were thinking about going to the beach. Estelle wanted to give a cantaloupe to",Alyssa,Estelle,Alyssa
86,"After William and Geneva went to the gym, Geneva gave a pear to William","After William and Geneva went to the gym, Geneva gave a pear to",William,Geneva,William
87,"Then, Marsha and Harriet were working at the desert. Marsha decided to give a pineapple to Harriet","Then, Marsha and Harriet were working at the desert. Marsha decided to give a pineapple to",Harriet,Marsha,Harriet
88,"Then, Anita and Lula were working at the school. Lula decided to give a kiwi to Anita","Then, Anita and Lula were working at the school. Lula decided to give a kiwi to",Anita,Lula,Anita
89,"After the lunch, Violet and Janet went to the theater. Violet gave a banana to Janet","After the lunch, Violet and Janet went to the theater. Violet gave a banana to",Janet,Violet,Janet
90,"Then, Ella and Lula went to the desert. Lula gave a cantaloupe to Ella","Then, Ella and Lula went to the desert. Lula gave a cantaloupe to",Ella,Lula,Ella
91,"While Yvette and Jessie were working at the library, Yvette gave a banana to Jessie","While Yvette and Jessie were working at the library, Yvette gave a banana to",Jessie,Yvette,Jessie
92,"After Stacy and Pauline went to the cave, Pauline gave a peach to Stacy","After Stacy and Pauline went to the cave, Pauline gave a peach to",Stacy,Pauline,Stacy
93,"Then, Marsha and Theresa had a lot of fun at the home. Marsha gave a blueberry to Theresa","Then, Marsha and Theresa had a lot of fun at the home. Marsha gave a blueberry to",Theresa,Marsha,Theresa
94,The mountain Carmen and Agnes went to had a honeydew. Agnes gave it to Carmen,The mountain Carmen and Agnes went to had a honeydew. Agnes gave it to,Carmen,Agnes,Carmen
95,"After the lunch, Violet and Deanna went to the bar. Violet gave a papaya to Deanna","After the lunch, Violet and Deanna went to the bar. Violet gave a papaya to",Deanna,Violet,Deanna
96,Friends Lorraine and Mona found a raspberry at the forest. Mona gave it to Lorraine,Friends Lorraine and Mona found a raspberry at the forest. Mona gave it to,Lorraine,Mona,Lorraine
97,"While Gwen and Kathryn were working at the forest, Gwen gave a cherry to Kathryn","While Gwen and Kathryn were working at the forest, Gwen gave a cherry to",Kathryn,Gwen,Kathryn
98,"While Carmen and Jody were working at the river, Jody gave a blueberry to Carmen","While Carmen and Jody were working at the river, Jody gave a blueberry to",Carmen,Jody,Carmen
99,Friends Geneva and Jacqueline found a papaya at the market. Geneva gave it to Jacqueline,Friends Geneva and Jacqueline found a papaya at the market. Geneva gave it to,Jacqueline,Geneva,Jacqueline
100,"After Alicia and Megan went to the zoo, Megan gave a peach to Alicia","After Alicia and Megan went to the zoo, Megan gave a peach to",Alicia,Megan,Alicia
101,"While Robin and Jerry were commuting to the library, Robin gave a cherry to Jerry","While Robin and Jerry were commuting to the library, Robin gave a cherry to",Jerry,Robin,Jerry
102,"Then, Yolanda and Jackie were thinking about going to the store. Jackie wanted to give a peach to Yolanda","Then, Yolanda and Jackie were thinking about going to the store. Jackie wanted to give a peach to",Yolanda,Jackie,Yolanda
103,"While Rebecca and Anne were working at the library, Rebecca gave a cherry to Anne","While Rebecca and Anne were working at the library, Rebecca gave a cherry to",Anne,Rebecca,Anne
104,"While Leona and Estelle were commuting to the forest, Estelle gave a raspberry to Leona","While Leona and Estelle were commuting to the forest, Estelle gave a raspberry to",Leona,Estelle,Leona
105,"When Inez and Angie got a orange at the library, Inez decided to give it to Angie","When Inez and Angie got a orange at the library, Inez decided to give it to",Angie,Inez,Angie
106,"Then, Carmen and Estelle went to the desert. Estelle gave a raspberry to Carmen","Then, Carmen and Estelle went to the desert. Estelle gave a raspberry to",Carmen,Estelle,Carmen
107,"Then, Pat and Theresa were working at the cafe. Pat decided to give a peach to Theresa","Then, Pat and Theresa were working at the cafe. Pat decided to give a peach to",Theresa,Pat,Theresa
108,"Afterwards, Paula and Ethel went to the beach. Ethel gave a blackberry to Paula","Afterwards, Paula and Ethel went to the beach. Ethel gave a blackberry to",Paula,Ethel,Paula
109,"Then, Kari and Diana had a lot of fun at the museum. Kari gave a banana to Diana","Then, Kari and Diana had a lot of fun at the museum. Kari gave a banana to",Diana,Kari,Diana
110,"Then, Chelsea and Jackie were thinking about going to the store. Jackie wanted to give a banana to Chelsea","Then, Chelsea and Jackie were thinking about going to the store. Jackie wanted to give a banana to",Chelsea,Jackie,Chelsea
111,"Then, Kristina and Loretta had a lot of fun at the gym. Kristina gave a mango to Loretta","Then, Kristina and Loretta had a lot of fun at the gym. Kristina gave a mango to",Loretta,Kristina,Loretta
112,"Then, Harriet and Faye were thinking about going to the gym. Faye wanted to give a blueberry to Harriet","Then, Harriet and Faye were thinking about going to the gym. Faye wanted to give a blueberry to",Harriet,Faye,Harriet
113,"Afterwards, Rebecca and Nellie went to the school. Rebecca gave a plum to Nellie","Afterwards, Rebecca and Nellie went to the school. Rebecca gave a plum to",Nellie,Rebecca,Nellie
114,"Then, Deanna and Jody went to the mountain. Jody gave a strawberry to Deanna","Then, Deanna and Jody went to the mountain. Jody gave a strawberry to",Deanna,Jody,Deanna
115,"Afterwards, Kelly and Mattie went to the river. Kelly gave a honeydew to Mattie","Afterwards, Kelly and Mattie went to the river. Kelly gave a honeydew to",Mattie,Kelly,Mattie
116,The forest Ella and Bernadette went to had a orange. Bernadette gave it to Ella,The forest Ella and Bernadette went to had a orange. Bernadette gave it to,Ella,Bernadette,Ella
117,"When Marsha and Kathryn got a orange at the shop, Marsha decided to give the orange to Kathryn","When Marsha and Kathryn got a orange at the shop, Marsha decided to give the orange to",Kathryn,Marsha,Kathryn
118,The lake Sheila and Grace went to had a grape. Grace gave it to Sheila,The lake Sheila and Grace went to had a grape. Grace gave it to,Sheila,Grace,Sheila
119,"When Shannon and Dianne got a raspberry at the beach, Shannon decided to give the raspberry to Dianne","When Shannon and Dianne got a raspberry at the beach, Shannon decided to give the raspberry to",Dianne,Shannon,Dianne
120,"Afterwards, William and Rachel went to the river. Rachel gave a kiwi to William","Afterwards, William and Rachel went to the river. Rachel gave a kiwi to",William,Rachel,William
121,"When Velma and Dianne got a watermelon at the gym, Velma decided to give the watermelon to Dianne","When Velma and Dianne got a watermelon at the gym, Velma decided to give the watermelon to",Dianne,Velma,Dianne
122,"When Theresa and Eleanor got a cherry at the museum, Eleanor decided to give the cherry to Theresa","When Theresa and Eleanor got a cherry at the museum, Eleanor decided to give the cherry to",Theresa,Eleanor,Theresa
123,"After Leigh and Paula went to the bar, Leigh gave a pear to Paula","After Leigh and Paula went to the bar, Leigh gave a pear to",Paula,Leigh,Paula
124,The lake Chelsea and Kristina went to had a apple. Kristina gave it to Chelsea,The lake Chelsea and Kristina went to had a apple. Kristina gave it to,Chelsea,Kristina,Chelsea
125,"Then, Bernadette and Stacy were thinking about going to the theater. Bernadette wanted to give a orange to Stacy","Then, Bernadette and Stacy were thinking about going to the theater. Bernadette wanted to give a orange to",Stacy,Bernadette,Stacy
126,"Then, Brian and Jody were thinking about going to the mountain. Jody wanted to give a peach to Brian","Then, Brian and Jody were thinking about going to the mountain. Jody wanted to give a peach to",Brian,Jody,Brian
127,"Then, Kari and Rosemarie were thinking about going to the library. Kari wanted to give a watermelon to Rosemarie","Then, Kari and Rosemarie were thinking about going to the library. Kari wanted to give a watermelon to",Rosemarie,Kari,Rosemarie
128,"Then, Angie and Bernadette were working at the beach. Bernadette decided to give a grape to Angie","Then, Angie and Bernadette were working at the beach. Bernadette decided to give a grape to",Angie,Bernadette,Angie
129,"When Gwen and Susan got a honeydew at the library, Gwen decided to give it to Susan","When Gwen and Susan got a honeydew at the library, Gwen decided to give it to",Susan,Gwen,Susan
130,"Afterwards, Janet and Irma went to the zoo. Irma gave a raspberry to Janet","Afterwards, Janet and Irma went to the zoo. Irma gave a raspberry to",Janet,Irma,Janet
131,"While Faye and Anita were working at the museum, Faye gave a honeydew to Anita","While Faye and Anita were working at the museum, Faye gave a honeydew to",Anita,Faye,Anita
132,"While Loretta and Teresa were commuting to the theater, Teresa gave a honeydew to Loretta","While Loretta and Teresa were commuting to the theater, Teresa gave a honeydew to",Loretta,Teresa,Loretta
133,"Afterwards, Erika and Brian went to the shop. Erika gave a plum to Brian","Afterwards, Erika and Brian went to the shop. Erika gave a plum to",Brian,Erika,Brian
134,"When Doris and Lula got a blackberry at the library, Lula decided to give it to Doris","When Doris and Lula got a blackberry at the library, Lula decided to give it to",Doris,Lula,Doris
135,"Afterwards, Lula and Jerry went to the desert. Lula gave a orange to Jerry","Afterwards, Lula and Jerry went to the desert. Lula gave a orange to",Jerry,Lula,Jerry
136,"When Ella and Suzanne got a papaya at the cave, Suzanne decided to give it to Ella","When Ella and Suzanne got a papaya at the cave, Suzanne decided to give it to",Ella,Suzanne,Ella
137,Friends Faye and Deanna found a mango at the cafe. Faye gave it to Deanna,Friends Faye and Deanna found a mango at the cafe. Faye gave it to,Deanna,Faye,Deanna
138,"Then, Yolanda and Faye went to the park. Faye gave a honeydew to Yolanda","Then, Yolanda and Faye went to the park. Faye gave a honeydew to",Yolanda,Faye,Yolanda
139,Friends Bernadette and Rosemarie found a banana at the gym. Bernadette gave it to Rosemarie,Friends Bernadette and Rosemarie found a banana at the gym. Bernadette gave it to,Rosemarie,Bernadette,Rosemarie
140,"While Mildred and Teresa were working at the market, Teresa gave a banana to Mildred","While Mildred and Teresa were working at the market, Teresa gave a banana to",Mildred,Teresa,Mildred
141,"After Kari and Doris went to the store, Kari gave a grape to Doris","After Kari and Doris went to the store, Kari gave a grape to",Doris,Kari,Doris
142,"After Alyssa and Pauline went to the shop, Pauline gave a plum to Alyssa","After Alyssa and Pauline went to the shop, Pauline gave a plum to",Alyssa,Pauline,Alyssa
143,"Afterwards, Megan and Angie went to the library. Megan gave a raspberry to Angie","Afterwards, Megan and Angie went to the library. Megan gave a raspberry to",Angie,Megan,Angie
144,"When Alicia and Irma got a pear at the park, Irma decided to give the pear to Alicia","When Alicia and Irma got a pear at the park, Irma decided to give the pear to",Alicia,Irma,Alicia
145,"While Velma and Diana were commuting to the river, Velma gave a kiwi to Diana","While Velma and Diana were commuting to the river, Velma gave a kiwi to",Diana,Velma,Diana
146,"After Wilma and Robin went to the gym, Robin gave a cantaloupe to Wilma","After Wilma and Robin went to the gym, Robin gave a cantaloupe to",Wilma,Robin,Wilma
147,"After the lunch, Teresa and Jacqueline went to the theater. Teresa gave a plum to Jacqueline","After the lunch, Teresa and Jacqueline went to the theater. Teresa gave a plum to",Jacqueline,Teresa,Jacqueline
148,The theater Ginger and Pauline went to had a watermelon. Pauline gave it to Ginger,The theater Ginger and Pauline went to had a watermelon. Pauline gave it to,Ginger,Pauline,Ginger
149,"Then, Inez and Mark were thinking about going to the mountain. Inez wanted to give a coconut to Mark","Then, Inez and Mark were thinking about going to the mountain. Inez wanted to give a coconut to",Mark,Inez,Mark
150,"While Mattie and Yvette were working at the market, Yvette gave a honeydew to Mattie","While Mattie and Yvette were working at the market, Yvette gave a honeydew to",Mattie,Yvette,Mattie
151,"While Miriam and Doris were commuting to the library, Miriam gave a peach to Doris","While Miriam and Doris were commuting to the library, Miriam gave a peach to",Doris,Miriam,Doris
152,"Then, Charlene and Alice had a lot of fun at the cafe. Alice gave a coconut to Charlene","Then, Charlene and Alice had a lot of fun at the cafe. Alice gave a coconut to",Charlene,Alice,Charlene
153,Friends Suzanne and Yolanda found a blackberry at the museum. Suzanne gave it to Yolanda,Friends Suzanne and Yolanda found a blackberry at the museum. Suzanne gave it to,Yolanda,Suzanne,Yolanda
154,"When Jessie and Kari got a pear at the shop, Kari decided to give the pear to Jessie","When Jessie and Kari got a pear at the shop, Kari decided to give the pear to",Jessie,Kari,Jessie
155,"While Inez and Mark were working at the market, Inez gave a honeydew to Mark","While Inez and Mark were working at the market, Inez gave a honeydew to",Mark,Inez,Mark
156,"Afterwards, Alicia and Kari went to the cave. Kari gave a kiwi to Alicia","Afterwards, Alicia and Kari went to the cave. Kari gave a kiwi to",Alicia,Kari,Alicia
157,"After the lunch, Jessica and Sarah went to the museum. Jessica gave a blueberry to Sarah","After the lunch, Jessica and Sarah went to the museum. Jessica gave a blueberry to",Sarah,Jessica,Sarah
158,"While Dianne and Shannon were working at the park, Shannon gave a plum to Dianne","While Dianne and Shannon were working at the park, Shannon gave a plum to",Dianne,Shannon,Dianne
159,"After the lunch, Jody and Charlene went to the shop. Jody gave a pear to Charlene","After the lunch, Jody and Charlene went to the shop. Jody gave a pear to",Charlene,Jody,Charlene
160,"While Juana and Shannon were working at the school, Shannon gave a raspberry to Juana","While Juana and Shannon were working at the school, Shannon gave a raspberry to",Juana,Shannon,Juana
161,"While Teresa and Kim were commuting to the park, Teresa gave a blueberry to Kim","While Teresa and Kim were commuting to the park, Teresa gave a blueberry to",Kim,Teresa,Kim
162,"Then, Dianne and Lula were working at the river. Lula decided to give a grape to Dianne","Then, Dianne and Lula were working at the river. Lula decided to give a grape to",Dianne,Lula,Dianne
163,"After Marilyn and Chelsea went to the beach, Marilyn gave a watermelon to Chelsea","After Marilyn and Chelsea went to the beach, Marilyn gave a watermelon to",Chelsea,Marilyn,Chelsea
164,"Then, Doris and Lula had a lot of fun at the park. Lula gave a raspberry to Doris","Then, Doris and Lula had a lot of fun at the park. Lula gave a raspberry to",Doris,Lula,Doris
165,"Then, Kristina and Theresa had a lot of fun at the shop. Kristina gave a blackberry to Theresa","Then, Kristina and Theresa had a lot of fun at the shop. Kristina gave a blackberry to",Theresa,Kristina,Theresa
